"iso3c","year","EquipI","NonequipI"
"JOR",2004,0.308954612400768,0.00498033959923203
"JOR",2005,0.348502002920608,0.0398743520793924
"JOR",2006,0.311114672566735,0.00638907743326464
"JOR",2007,0.307424901359844,0.00360676764015574
"JOR",2008,0.289391113638358,0.00288723536164217
"JOR",2009,0.243993101993486,0.00178025800651389
"JOR",2010,0.215335490674783,0.000811276325217237
"JOR",2011,0.192793664268896,0.00920537373110354
"JOR",2012,0.205261065336083,0.000548304663916897
"JOR",2013,0.216509520918051,0.00036656908194884
"JOR",2014,0.212342771112549,0.000638050887451208
"JOR",2015,0.184044522617304,0.000552090382695534
"JOR",2016,0.166567737941788,0.00049374005821236
"JOR",2017,0.155633198001912,0.000576434998087522
"JPN",1980,0.379810780892406,0.0177470741075938
"JPN",1981,0.366408051071784,0.0175368779282163
"JPN",1982,0.348792107611689,0.0176196973883107
"JPN",1983,0.319882617874002,0.017235531125998
"JPN",1984,0.30984076691566,0.01766917308434
"JPN",1985,0.313469904868858,0.0181720971311416
"JPN",1986,0.308994215177041,0.0196857038229592
"JPN",1987,0.317988721155259,0.0204951188447406
"JPN",1988,0.334131260777643,0.0284855462223572
"JPN",1989,0.338407847489019,0.0332299145109809
"JPN",1990,0.337922696819445,0.033815767180555
"JPN",1991,0.334008309222818,0.0385180387771819
"JPN",1992,0.321332516143754,0.0399102248562458
"JPN",1993,0.314240833344774,0.040369013655226
"JPN",1994,0.299239986193516,0.0401823888064841
"JPN",1995,0.301481324599866,0.0407899734001339
"JPN",1996,0.311993385572339,0.0435894474276609
"JPN",1997,0.295906045444735,0.0460903565552648
"JPN",1998,0.275498040310636,0.0484865526893639
"JPN",1999,0.261323265604989,0.0473817963950112
"JPN",2000,0.258300494262567,0.0486723667374328
"JPN",2001,0.252243690026714,0.0523750859732864
"JPN",2002,0.229895716463891,0.0534175285361088
"JPN",2003,0.223197438018597,0.0542609619814031
"JPN",2004,0.218446045772563,0.0555199392274371
"JPN",2005,0.215898445566276,0.0565534914337242
"JPN",2006,0.212101996919331,0.0569664230806688
"JPN",2007,0.202223084657821,0.0576858003421786
"JPN",2008,0.199648976486937,0.0600050385130626
"JPN",2009,0.171054674939112,0.0556081250608877
"JPN",2010,0.16715325370015,0.0540956262998496
"JPN",2011,0.173582486181253,0.055246524818747
"JPN",2012,0.173097384100454,0.0545075708995456
"JPN",2013,0.170484455247934,0.0525749457520661
"JPN",2014,0.171409734624534,0.0533054833754658
"JPN",2015,0.164885612148066,0.0523083788519342
"JPN",2016,0.158493227889477,0.0503026621105228
"JPN",2017,0.159825097336996,0.0494671206630044
"KAZ",1980,NA,NA
"KAZ",1981,NA,NA
"KAZ",1982,NA,NA
"KAZ",1983,NA,NA
"KAZ",1984,NA,NA
"KAZ",1985,NA,NA
"KAZ",1986,NA,NA
"KAZ",1987,NA,NA
"KAZ",1988,NA,NA
"KAZ",1989,NA,NA
"KAZ",1990,0.437080999329485,0.00135610467051489
"KAZ",1991,0.252923119565705,0.00089154743429465
"KAZ",1992,0.241321756338731,0.000937641661269466
"KAZ",1993,0.128142199650945,0.000533410349055205
"KAZ",1994,0.206427757944976,0.000535885055024144
"KAZ",1995,0.135149288907304,0.000691142092696293
"KAZ",1996,0.0948567049173824,0.00037392708261762
"KAZ",1997,0.108500507271326,0.000472354728674357
"KAZ",1998,0.11357338347756,0.00150082652244042
"KAZ",1999,0.132401156411351,0.00300728958864881
"KAZ",2000,0.132053140604524,0.00522096039547589
"KAZ",2001,0.172639160672659,0.00753340232734101
"KAZ",2002,0.191009162072621,0.00694540292737872
"KAZ",2003,0.18364756304636,0.00825078295364006
"KAZ",2004,0.161879013652098,0.0360531253479021
"KAZ",2005,0.198419587568512,0.0338936584314876
"KAZ",2006,0.215714960611193,0.0308087623888072
"KAZ",2007,0.227079687927948,0.026850165072052
"KAZ",2008,0.169526996517633,0.0213549264823672
"KAZ",2009,0.176779410148787,0.018992760851213
"KAZ",2010,0.156769542071734,0.0109271719282657
"KAZ",2011,0.137552045668703,0.00978394533129654
"KAZ",2012,0.150119750594228,0.0125712314057722
