"iso3c","year","RevCoups"
"BLZ",1988,0
"BLZ",1989,0
"BLZ",1990,0
"BLZ",1991,0
"BLZ",1992,0
"BLZ",1993,0
"BLZ",1994,0
"BLZ",1995,0
"BLZ",1996,0
"BLZ",1997,0
"BLZ",1998,0
"BLZ",1999,0
"BLZ",2000,0
"BLZ",2001,0
"BLZ",2002,0
"BLZ",2003,0
"BLZ",2004,0
"BLZ",2005,0
"BLZ",2006,0
"BLZ",2007,0
"BLZ",2008,0
"BLZ",2009,0
"BLZ",2010,0
"BLZ",2011,0
"BLZ",2012,0
"BLZ",2013,0
"BLZ",2014,0
"BLZ",2015,0
"BLZ",2016,0
"BLZ",2017,0
"BLZ",2018,0
"BLZ",2019,0
"GUA",1980,0
"GUA",1981,0
"GUA",1982,2
"GUA",1983,2
"GUA",1984,0
"GUA",1985,0
"GUA",1986,0
"GUA",1987,0
"GUA",1988,1
"GUA",1989,1
"GUA",1990,0
"GUA",1991,0
"GUA",1992,0
"GUA",1993,0
"GUA",1994,0
"GUA",1995,0
"GUA",1996,0
"GUA",1997,0
"GUA",1998,0
"GUA",1999,0
"GUA",2000,0
"GUA",2001,0
"GUA",2002,0
"GUA",2003,0
"GUA",2004,0
"GUA",2005,0
"GUA",2006,0
"GUA",2007,0
"GUA",2008,0
"GUA",2009,0
"GUA",2010,0
"GUA",2011,0
"GUA",2012,0
"GUA",2013,0
"GUA",2014,0
"GUA",2015,0
"GUA",2016,0
"GUA",2017,0
"GUA",2018,0
"GUA",2019,0
"HON",1980,0
"HON",1981,0
"HON",1982,0
"HON",1983,0
"HON",1984,0
"HON",1985,0
"HON",1986,0
"HON",1987,0
"HON",1988,0
"HON",1989,0
"HON",1990,0
"HON",1991,0
"HON",1992,0
"HON",1993,0
"HON",1994,0
"HON",1995,0
"HON",1996,0
"HON",1997,0
"HON",1998,0
"HON",1999,1
"HON",2000,0
"HON",2001,0
"HON",2002,0
"HON",2003,0
"HON",2004,0
"HON",2005,0
"HON",2006,0
"HON",2007,0
"HON",2008,0
"HON",2009,2
"HON",2010,0
"HON",2011,0
"HON",2012,0
"HON",2013,0
"HON",2014,0
"HON",2015,0
"HON",2016,0
"HON",2017,0
"HON",2018,0
"HON",2019,0
"SAL",1980,0
"SAL",1981,0
"SAL",1982,0
"SAL",1983,0
"SAL",1984,0
"SAL",1985,0
"SAL",1986,0
"SAL",1987,0
"SAL",1988,0
"SAL",1989,0
"SAL",1990,0
"SAL",1991,0
"SAL",1992,0
"SAL",1993,0
"SAL",1994,0
"SAL",1995,0
"SAL",1996,0
"SAL",1997,0
"SAL",1998,0
"SAL",1999,0
"SAL",2000,0
"SAL",2001,0
"SAL",2002,0
"SAL",2003,0
"SAL",2004,0
"SAL",2005,0
"SAL",2006,0
"SAL",2007,0
"SAL",2008,0
"SAL",2009,0
"SAL",2010,0
"SAL",2011,0
"SAL",2012,0
"SAL",2013,0
"SAL",2014,0
"SAL",2015,0
"SAL",2016,0
"SAL",2017,0
"SAL",2018,0
"SAL",2019,0
"NIC",1980,0
"NIC",1981,0
"NIC",1982,0
"NIC",1983,0
"NIC",1984,0
"NIC",1985,0
"NIC",1986,0
"NIC",1987,0
"NIC",1988,0
"NIC",1989,0
"NIC",1990,0
"NIC",1991,0
"NIC",1992,0
"NIC",1993,0
"NIC",1994,0
"NIC",1995,0
"NIC",1996,0
"NIC",1997,0
"NIC",1998,0
"NIC",1999,0
"NIC",2000,0
"NIC",2001,0
"NIC",2002,0
"NIC",2003,0
"NIC",2004,0
"NIC",2005,0
"NIC",2006,0
"NIC",2007,0
"NIC",2008,0
"NIC",2009,0
"NIC",2010,0
"NIC",2011,0
"NIC",2012,0
"NIC",2013,0
"NIC",2014,0
"NIC",2015,0
"NIC",2016,0
"NIC",2017,0
"NIC",2018,0
"NIC",2019,0
"COS",1980,0
"COS",1981,0
"COS",1982,0
"COS",1983,0
"COS",1984,0
"COS",1985,0
"COS",1986,0
"COS",1987,0
"COS",1988,0
"COS",1989,0
"COS",1990,0
"COS",1991,0
"COS",1992,0
"COS",1993,0
"COS",1994,0
"COS",1995,0
"COS",1996,0
"COS",1997,0
"COS",1998,0
"COS",1999,0
"COS",2000,0
"COS",2001,0
"COS",2002,0
"COS",2003,0
"COS",2004,0
"COS",2005,0
"COS",2006,0
"COS",2007,0
"COS",2008,0
"COS",2009,0
"COS",2010,0
"COS",2011,0
"COS",2012,0
"COS",2013,0
"COS",2014,0
"COS",2015,0
"COS",2016,0
"COS",2017,0
"COS",2018,0
"COS",2019,0
"PAN",1980,0
"PAN",1981,0
"PAN",1982,0
"PAN",1983,0
"PAN",1984,0
"PAN",1985,0
"PAN",1986,0
"PAN",1987,0
"PAN",1988,1
"PAN",1989,1
"PAN",1990,0
"PAN",1991,0
"PAN",1992,0
"PAN",1993,0
"PAN",1994,0
"PAN",1995,0
"PAN",1996,0
"PAN",1997,0
"PAN",1998,0
"PAN",1999,0
"PAN",2000,0
"PAN",2001,0
"PAN",2002,0
"PAN",2003,0
"PAN",2004,0
"PAN",2005,0
"PAN",2006,0
"PAN",2007,0
"PAN",2008,0
"PAN",2009,0
"PAN",2010,0
"PAN",2011,0
"PAN",2012,0
"PAN",2013,0
"PAN",2014,0
"PAN",2015,0
"PAN",2016,0
"PAN",2017,0
"PAN",2018,0
"PAN",2019,0
"COL",1980,0
"COL",1981,0
"COL",1982,0
"COL",1983,0
"COL",1984,0
"COL",1985,0
"COL",1986,0
"COL",1987,0
"COL",1988,0
"COL",1989,0
"COL",1990,0
"COL",1991,0
"COL",1992,0
"COL",1993,0
"COL",1994,0
"COL",1995,0
"COL",1996,0
"COL",1997,0
"COL",1998,0
"COL",1999,0
"COL",2000,0
"COL",2001,0
"COL",2002,0
"COL",2003,0
"COL",2004,0
"COL",2005,0
"COL",2006,0
"COL",2007,0
"COL",2008,0
"COL",2009,0
"COL",2010,0
"COL",2011,0
"COL",2012,0
"COL",2013,0
"COL",2014,0
"COL",2015,0
"COL",2016,0
"COL",2017,0
"COL",2018,0
"COL",2019,0
"VEN",1980,0
"VEN",1981,0
"VEN",1982,0
"VEN",1983,0
"VEN",1984,0
"VEN",1985,0
"VEN",1986,0
"VEN",1987,0
"VEN",1988,0
"VEN",1989,0
"VEN",1990,0
"VEN",1991,0
"VEN",1992,2
"VEN",1993,0
"VEN",1994,0
"VEN",1995,0
"VEN",1996,0
"VEN",1997,0
"VEN",1998,0
"VEN",1999,0
"VEN",2000,0
"VEN",2001,0
"VEN",2002,1
"VEN",2003,0
"VEN",2004,0
"VEN",2005,0
"VEN",2006,0
"VEN",2007,0
"VEN",2008,0
"VEN",2009,0
"VEN",2010,0
"VEN",2011,0
"VEN",2012,0
"VEN",2013,0
"VEN",2014,0
"VEN",2015,0
"VEN",2016,0
"VEN",2017,0
"VEN",2018,0
"VEN",2019,0
"GUY",1980,0
"GUY",1981,0
"GUY",1982,0
"GUY",1983,0
"GUY",1984,0
"GUY",1985,0
"GUY",1986,0
"GUY",1987,0
"GUY",1988,0
"GUY",1989,0
"GUY",1990,0
"GUY",1991,0
"GUY",1992,0
"GUY",1993,0
"GUY",1994,0
"GUY",1995,0
"GUY",1996,0
"GUY",1997,0
"GUY",1998,0
"GUY",1999,0
"GUY",2000,0
"GUY",2001,0
"GUY",2002,0
"GUY",2003,0
"GUY",2004,0
"GUY",2005,0
"GUY",2006,0
"GUY",2007,0
"GUY",2008,0
"GUY",2009,0
"GUY",2010,0
"GUY",2011,0
"GUY",2012,0
"GUY",2013,0
"GUY",2014,0
"GUY",2015,0
"GUY",2016,0
"GUY",2017,0
"GUY",2018,0
"GUY",2019,0
"SUR",1980,4
"SUR",1981,0
"SUR",1982,0
"SUR",1983,0
"SUR",1984,0
"SUR",1985,0
"SUR",1986,0
"SUR",1987,0
"SUR",1988,0
"SUR",1989,0
"SUR",1990,0
"SUR",1991,0
"SUR",1992,0
"SUR",1993,0
"SUR",1994,0
"SUR",1995,0
"SUR",1996,0
"SUR",1997,0
"SUR",1998,0
"SUR",1999,0
"SUR",2000,0
"SUR",2001,0
"SUR",2002,0
"SUR",2003,0
"SUR",2004,0
"SUR",2005,0
"SUR",2006,0
"SUR",2007,0
"SUR",2008,0
"SUR",2009,0
"SUR",2010,0
"SUR",2011,0
"SUR",2012,0
"SUR",2013,0
"SUR",2014,0
"SUR",2015,0
"SUR",2016,0
"SUR",2017,0
"SUR",2018,0
"SUR",2019,0
"ECU",1980,0
"ECU",1981,0
"ECU",1982,0
"ECU",1983,0
"ECU",1984,0
"ECU",1985,0
"ECU",1986,1
"ECU",1987,0
"ECU",1988,0
"ECU",1989,0
"ECU",1990,0
"ECU",1991,0
"ECU",1992,0
"ECU",1993,0
"ECU",1994,0
"ECU",1995,0
"ECU",1996,0
"ECU",1997,0
"ECU",1998,0
"ECU",1999,0
"ECU",2000,1
"ECU",2001,0
"ECU",2002,0
"ECU",2003,0
"ECU",2004,0
"ECU",2005,0
"ECU",2006,0
"ECU",2007,0
"ECU",2008,0
"ECU",2009,0
"ECU",2010,0
"ECU",2011,0
"ECU",2012,0
"ECU",2013,0
"ECU",2014,0
"ECU",2015,0
"ECU",2016,0
"ECU",2017,0
"ECU",2018,0
"ECU",2019,0
"PER",1980,0
"PER",1981,0
"PER",1982,0
"PER",1983,0
"PER",1984,0
"PER",1985,0
"PER",1986,0
"PER",1987,0
"PER",1988,0
"PER",1989,0
"PER",1990,0
"PER",1991,0
"PER",1992,1
"PER",1993,0
"PER",1994,0
"PER",1995,0
"PER",1996,0
"PER",1997,0
"PER",1998,0
"PER",1999,0
"PER",2000,1
"PER",2001,0
"PER",2002,0
"PER",2003,0
"PER",2004,0
"PER",2005,0
"PER",2006,0
"PER",2007,0
"PER",2008,0
"PER",2009,0
"PER",2010,0
"PER",2011,0
"PER",2012,0
"PER",2013,0
"PER",2014,0
"PER",2015,0
"PER",2016,0
"PER",2017,0
"PER",2018,0
"PER",2019,0
"BRA",1980,0
"BRA",1981,0
"BRA",1982,0
"BRA",1983,0
"BRA",1984,0
"BRA",1985,0
"BRA",1986,0
"BRA",1987,0
"BRA",1988,0
"BRA",1989,0
"BRA",1990,0
"BRA",1991,0
"BRA",1992,0
"BRA",1993,0
"BRA",1994,0
"BRA",1995,0
"BRA",1996,0
"BRA",1997,0
"BRA",1998,0
"BRA",1999,0
"BRA",2000,0
"BRA",2001,0
"BRA",2002,0
"BRA",2003,0
"BRA",2004,0
"BRA",2005,0
"BRA",2006,0
"BRA",2007,0
"BRA",2008,0
"BRA",2009,0
"BRA",2010,0
"BRA",2011,0
"BRA",2012,0
"BRA",2013,0
"BRA",2014,0
"BRA",2015,0
"BRA",2016,0
"BRA",2017,0
"BRA",2018,0
"BRA",2019,0
"BOL",1980,2
"BOL",1981,5
"BOL",1982,0
"BOL",1983,0
"BOL",1984,1
"BOL",1985,0
"BOL",1986,0
"BOL",1987,0
"BOL",1988,0
"BOL",1989,0
"BOL",1990,0
"BOL",1991,0
"BOL",1992,0
"BOL",1993,0
"BOL",1994,0
"BOL",1995,0
"BOL",1996,0
"BOL",1997,0
"BOL",1998,0
"BOL",1999,0
"BOL",2000,0
"BOL",2001,0
"BOL",2002,0
"BOL",2003,0
"BOL",2004,0
"BOL",2005,0
"BOL",2006,0
"BOL",2007,0
"BOL",2008,0
"BOL",2009,0
"BOL",2010,0
"BOL",2011,0
"BOL",2012,0
"BOL",2013,0
"BOL",2014,0
"BOL",2015,0
"BOL",2016,0
"BOL",2017,0
"BOL",2018,0
"BOL",2019,0
"PAR",1980,0
"PAR",1981,0
"PAR",1982,0
"PAR",1983,0
"PAR",1984,0
"PAR",1985,0
"PAR",1986,0
"PAR",1987,0
"PAR",1988,0
"PAR",1989,2
"PAR",1990,0
"PAR",1991,0
"PAR",1992,0
"PAR",1993,0
"PAR",1994,0
"PAR",1995,0
"PAR",1996,0
"PAR",1997,0
"PAR",1998,0
"PAR",1999,0
"PAR",2000,1
"PAR",2001,0
"PAR",2002,0
"PAR",2003,0
"PAR",2004,0
"PAR",2005,0
"PAR",2006,0
"PAR",2007,0
"PAR",2008,0
"PAR",2009,0
"PAR",2010,0
"PAR",2011,0
"PAR",2012,0
"PAR",2013,0
"PAR",2014,0
"PAR",2015,0
"PAR",2016,0
"PAR",2017,0
"PAR",2018,0
"PAR",2019,0
"CHL",1980,0
"CHL",1981,0
"CHL",1982,0
"CHL",1983,0
"CHL",1984,0
"CHL",1985,0
"CHL",1986,0
"CHL",1987,0
"CHL",1988,0
"CHL",1989,0
"CHL",1990,0
"CHL",1991,0
"CHL",1992,0
"CHL",1993,0
"CHL",1994,0
"CHL",1995,0
"CHL",1996,0
"CHL",1997,0
"CHL",1998,0
"CHL",1999,0
"CHL",2000,0
"CHL",2001,0
"CHL",2002,0
"CHL",2003,0
"CHL",2004,0
"CHL",2005,0
"CHL",2006,0
"CHL",2007,0
"CHL",2008,0
"CHL",2009,0
"CHL",2010,0
"CHL",2011,0
"CHL",2012,0
"CHL",2013,0
"CHL",2014,0
"CHL",2015,0
"CHL",2016,0
"CHL",2017,0
"CHL",2018,0
"CHL",2019,0
"ARG",1980,0
"ARG",1981,0
"ARG",1982,0
"ARG",1983,0
"ARG",1984,0
"ARG",1985,0
"ARG",1986,0
"ARG",1987,0
"ARG",1988,1
"ARG",1989,0
"ARG",1990,0
"ARG",1991,0
"ARG",1992,0
"ARG",1993,0
"ARG",1994,0
"ARG",1995,0
"ARG",1996,0
"ARG",1997,0
"ARG",1998,0
"ARG",1999,0
"ARG",2000,0
"ARG",2001,0
"ARG",2002,0
"ARG",2003,0
"ARG",2004,0
"ARG",2005,0
"ARG",2006,0
"ARG",2007,0
"ARG",2008,0
"ARG",2009,0
"ARG",2010,0
"ARG",2011,0
"ARG",2012,0
"ARG",2013,0
"ARG",2014,0
"ARG",2015,0
"ARG",2016,0
"ARG",2017,0
"ARG",2018,0
"ARG",2019,0
"URU",1980,0
"URU",1981,0
"URU",1982,0
"URU",1983,0
"URU",1984,0
"URU",1985,0
"URU",1986,0
"URU",1987,0
"URU",1988,0
"URU",1989,0
"URU",1990,0
"URU",1991,0
"URU",1992,0
"URU",1993,0
"URU",1994,0
"URU",1995,0
"URU",1996,0
"URU",1997,0
"URU",1998,0
"URU",1999,0
"URU",2000,0
"URU",2001,0
"URU",2002,0
"URU",2003,0
"URU",2004,0
"URU",2005,0
"URU",2006,0
"URU",2007,0
"URU",2008,0
"URU",2009,0
"URU",2010,0
"URU",2011,0
"URU",2012,0
"URU",2013,0
"URU",2014,0
"URU",2015,0
"URU",2016,0
"URU",2017,0
"URU",2018,0
"URU",2019,0
"UKG",1980,0
"UKG",1981,0
"UKG",1982,0
"UKG",1983,0
"UKG",1984,0
