"iso3c","year","GiniMarket","GiniNet","RedistAbs","RedistRel"
"TZA",1994,39.563622426031,41.8375515362646,-2.27392911023359,-6.19315033083585
"TZA",1995,39.5904881390553,42.0638803181738,-2.47339217911852,-6.65306027050173
"TZA",1996,39.4971852571855,42.1710676519492,-2.67388239476369,-7.14057592676299
"TZA",1997,39.5373171154046,42.5575806540439,-3.02026353863934,-7.93307294818501
"TZA",1998,39.6570982311047,42.6840534099484,-3.02695517884364,-7.90124677512536
"TZA",1999,39.7420658826681,42.8334907370521,-3.09142485438408,-8.00751225309944
"TZA",2000,39.99835721431,42.9304387338039,-2.93208151949394,-7.51316215274183
"TZA",2001,40.1277558390598,42.9980786376192,-2.87032279855942,-7.31898689517509
"TZA",2002,40.3718648978338,43.1857733815524,-2.81390848371859,-7.15990726819822
"TZA",2003,40.438093222077,43.4433205742465,-3.00522735216954,-7.65463243824434
"TZA",2004,40.6363744407967,43.5540714668469,-2.91769702605023,-7.47173450401054
"TZA",2005,40.9673078224556,43.7544552957098,-2.78714747325425,-7.01958752504894
"TZA",2006,41.0117945716916,43.936899316625,-2.92510474493339,-7.32975675390787
"TZA",2007,41.2789440171721,44.1961461277726,-2.91720211060055,-7.27963707534966
"TZA",2008,41.4010152077684,44.30699177477,-2.90597656700157,-7.24833771701912
"TZA",2009,41.4972341022474,44.3768826949211,-2.87964859267371,-7.12480968335974
"TZA",2010,41.3963437054942,44.2416410796658,-2.84529737417158,-7.04499174029664
"TZA",2011,41.3181657446034,44.2069888068528,-2.88882306224939,-7.15630899953665
"TZA",2012,41.3140845941109,44.0763206746877,-2.76223608057678,-6.87474786477833
"TZA",2013,41.5418660350601,44.1476385599022,-2.60577252484212,-6.51068435721598
"TZA",2014,41.5177072733053,44.1624307907924,-2.64472351748705,-6.60910692074276
"TZA",2015,41.6245889342272,44.2174152302528,-2.59282629602561,-6.50190975040663
"THA",1980,47.1256132871517,43.3438746606452,3.78173862650643,7.87524002694955
"THA",1981,47.3806746991867,43.5963612916788,3.78431340750793,7.85290173073275
"THA",1982,47.6622462955173,43.7766745956484,3.88557169986887,8.00741973565096
"THA",1983,47.8420789774145,44.0061645057822,3.83591447163237,7.85480981348846
"THA",1984,48.1087550154563,44.0328259544608,4.07592906099552,8.32763076981875
"THA",1985,48.1370200661006,44.2879300482706,3.84909001782999,7.87900838755874
"THA",1986,48.3641396981362,44.486162174845,3.87797752329112,7.91681280744572
"THA",1987,48.5740601524601,44.593301369076,3.98075878338411,8.11164821801122
"THA",1988,48.7288329260083,44.4032973528281,4.32553557318028,8.80867607402753
"THA",1989,48.7250101658321,44.5472806975399,4.17772946829222,8.51100697486771
"THA",1990,49.032523345474,44.700857396778,4.33166594869599,8.7640254425335
"THA",1991,49.0776322605213,44.6481280503923,4.429504210129,8.95958371236342
"THA",1992,49.0427565534565,44.7542293775549,4.28852717590162,8.67805881552104
"THA",1993,48.9644488706909,44.5347013134716,4.42974755721929,8.98044236742442
"THA",1994,48.786866522821,44.4941011730157,4.29276534980528,8.72839361827845
"THA",1995,48.5411025380617,44.2340283660275,4.3070741720342,8.80535529234279
"THA",1996,48.5848344457494,44.0831831491277,4.50165129662167,9.20712195874996
"THA",1997,48.4106061204063,43.798578812526,4.61202730788035,9.47848027331228
"THA",1998,48.1228724838663,43.844481460932,4.27839102293438,8.83256080638233
