"iso3c","year","Top10share","Top1share"
"AUS",1987,0.2712,0.060400002
"AUS",1988,0.2811,0.070500001
"AUS",1989,0.26429999,0.059099998
"AUS",1990,0.26100001,0.057
"AUS",1991,0.2696,0.058600001
"AUS",1992,0.27169999,0.059900001
"AUS",1993,0.27489999,0.0623
"AUS",1994,0.278,0.0647
"AUS",1995,0.27469999,0.064199999
"AUS",1996,0.2728,0.064599998
"AUS",1997,0.2818,0.068899997
"AUS",1998,0.28279999,0.070500001
"AUS",1999,0.2938,0.078900002
"AUS",2000,0.29710001,0.082099997
"AUS",2001,0.28560001,0.0757
"AUS",2002,0.29280001,0.079300001
"AUS",2003,0.29100001,0.081200004
"AUS",2004,0.29319999,0.084200002
"AUS",2005,0.30090001,0.087200001
"AUS",2006,0.31189999,0.095100001
"AUS",2007,0.3017,0.0911
"AUS",2008,0.2863,0.080799997
"AUS",2009,0.29789999,0.083700001
"AUS",2010,0.2994,0.085500002
"AUS",2011,0.29800001,0.082199998
"AUS",2012,0.3098,0.085199997
"AUS",2013,0.3175,0.090400003
"AUS",2014,0.31659999,0.0898
"AUS",2015,0.31909999,0.090999998
"AUS",2016,0.31900001,0.090700001
"AUS",2017,NA,NA
"AUT",1960,NA,NA
"AUT",1961,NA,NA
"AUT",1962,NA,NA
"AUT",1963,NA,NA
"AUT",1964,NA,NA
"AUT",1965,NA,NA
"AUT",1966,NA,NA
"AUT",1967,NA,NA
"AUT",1968,NA,NA
"AUT",1969,NA,NA
"AUT",1970,NA,NA
"AUT",1971,NA,NA
"AUT",1972,NA,NA
"AUT",1973,NA,NA
"AUT",1974,NA,NA
"AUT",1975,NA,NA
"AUT",1976,NA,NA
"AUT",1977,NA,NA
"AUT",1978,NA,NA
"AUT",1979,NA,NA
"AUT",1980,NA,NA
"AUT",1981,NA,NA
"AUT",1982,NA,NA
"AUT",1983,NA,NA
"AUT",1984,NA,NA
"AUT",1985,NA,NA
"AUT",1986,NA,NA
"AUT",1987,0.2608,0.056400001
"AUT",1988,0.26300001,0.0572
"AUT",1989,0.26660001,0.058899999
"AUT",1990,0.26840001,0.059999999
"AUT",1991,0.2726,0.062700003
"AUT",1992,0.2737,0.063699998
"AUT",1993,0.27779999,0.066500001
"AUT",1994,0.28380001,0.071699999
"AUT",1995,0.27039999,0.0594
"AUT",1996,0.27070001,0.062100001
"AUT",1997,0.26570001,0.061299998
"AUT",1998,0.26499999,0.060699999
"AUT",1999,0.26980001,0.062600002
"AUT",2000,0.26890001,0.060600001
"AUT",2001,0.26480001,0.059999999
"AUT",2002,0.27610001,0.067500003
"AUT",2003,0.28740001,0.0691
"AUT",2004,0.27779999,0.071000002
"AUT",2005,0.26879999,0.063500002
"AUT",2006,0.2597,0.058499999
"AUT",2007,0.27689999,0.068499997
"AUT",2008,0.2843,0.070100002
"AUT",2009,0.2814,0.068800002
"AUT",2010,0.28349999,0.070600003
"AUT",2011,0.27649999,0.0669
"AUT",2012,0.2728,0.061500002
"AUT",2013,0.28060001,0.069300003
"AUT",2014,0.27270001,0.069799997
"AUT",2015,0.2771,0.070600003
"AUT",2016,0.2879,0.081699997
"AUT",2017,NA,NA
"BDI",1960,NA,NA
"BDI",1961,NA,NA
"BDI",1962,NA,NA
"BDI",1963,NA,NA
"BDI",1964,NA,NA
"BDI",1965,NA,NA
"BDI",1966,NA,NA
"BDI",1967,NA,NA
"BDI",1968,NA,NA
"BDI",1969,NA,NA
"BDI",1970,NA,NA
"BDI",1971,NA,NA
"BDI",1972,NA,NA
"BDI",1973,NA,NA
"BDI",1974,NA,NA
"BDI",1975,NA,NA
"BDI",1976,NA,NA
"BDI",1977,NA,NA
"BDI",1978,NA,NA
"BDI",1979,NA,NA
"BDI",1980,NA,NA
"BDI",1981,NA,NA
"BDI",1982,NA,NA
"BDI",1983,NA,NA
"BDI",1984,NA,NA
"BDI",1985,NA,NA
"BDI",1986,NA,NA
"BDI",1987,NA,NA
"BDI",1988,NA,NA
"BDI",1989,NA,NA
"BDI",1990,0.4219460653,0.1232582981
"BDI",1991,0.4219460653,0.1232582981
"BDI",1992,0.4219460653,0.1232582981
"BDI",1993,0.4351222169,0.1316902571
"BDI",1994,0.4482983597,0.1401222147
"BDI",1995,0.4614745087,0.1485541712
"BDI",1996,0.4746506517,0.1569861271
