"iso3c","year","kaopen"
"BEN",2015,-1.21001923084259
"BEN",2016,-1.21001923084259
"BEN",2017,-1.21001923084259
"GNQ",1980,-1.91655135154724
"GNQ",1981,-1.91655135154724
"GNQ",1982,-1.91655135154724
"GNQ",1983,-1.91655135154724
"GNQ",1984,-1.21001923084259
"GNQ",1985,-1.21001923084259
"GNQ",1986,-1.21001923084259
"GNQ",1987,-1.21001923084259
"GNQ",1988,-1.21001923084259
"GNQ",1989,-1.21001923084259
"GNQ",1990,-1.21001923084259
"GNQ",1991,-1.21001923084259
"GNQ",1992,-1.21001923084259
"GNQ",1993,-1.21001923084259
"GNQ",1994,-1.21001923084259
"GNQ",1995,-0.141151502728462
"GNQ",1996,-1.21001923084259
"GNQ",1997,-1.21001923084259
"GNQ",1998,-1.21001923084259
"GNQ",1999,-1.21001923084259
"GNQ",2000,-1.21001923084259
"GNQ",2001,-1.21001923084259
"GNQ",2002,-1.21001923084259
"GNQ",2003,-1.21001923084259
"GNQ",2004,-1.21001923084259
"GNQ",2005,-1.21001923084259
"GNQ",2006,-1.21001923084259
"GNQ",2007,-1.21001923084259
"GNQ",2008,-1.21001923084259
"GNQ",2009,-1.21001923084259
"GNQ",2010,-1.21001923084259
"GNQ",2011,-1.21001923084259
"GNQ",2012,-1.21001923084259
"GNQ",2013,-1.21001923084259
"GNQ",2014,-1.21001923084259
"GNQ",2015,-1.21001923084259
"GNQ",2016,-1.21001923084259
"GNQ",2017,-1.21001923084259
"ERI",1980,NA
"ERI",1981,NA
"ERI",1982,NA
"ERI",1983,NA
"ERI",1984,NA
"ERI",1985,NA
"ERI",1986,NA
"ERI",1987,NA
"ERI",1988,NA
"ERI",1989,NA
"ERI",1990,NA
"ERI",1991,NA
"ERI",1992,NA
"ERI",1993,NA
"ERI",1994,NA
"ERI",1995,NA
"ERI",1996,NA
"ERI",1997,NA
"ERI",1998,-1.21001923084259
"ERI",1999,-0.141151502728462
"ERI",2000,-0.141151502728462
"ERI",2001,-1.21001923084259
"ERI",2002,-1.21001923084259
"ERI",2003,-1.91655135154724
"ERI",2004,-1.21001923084259
"ERI",2005,-1.21001923084259
"ERI",2006,-1.21001923084259
"ERI",2007,-1.91655135154724
"ERI",2008,-1.91655135154724
"ERI",2009,-1.21001923084259
"ERI",2010,-1.91655135154724
"ERI",2011,-1.91655135154724
"ERI",2012,-1.91655135154724
"ERI",2013,-1.91655135154724
"ERI",2014,-1.91655135154724
"ERI",2015,-1.91655135154724
"ERI",2016,-1.91655135154724
"ERI",2017,-1.91655135154724
"ETH",1980,-1.21001923084259
"ETH",1981,-1.21001923084259
"ETH",1982,-1.21001923084259
"ETH",1983,-1.21001923084259
"ETH",1984,-1.21001923084259
"ETH",1985,-1.21001923084259
"ETH",1986,-1.21001923084259
"ETH",1987,-1.21001923084259
"ETH",1988,-1.21001923084259
"ETH",1989,-1.21001923084259
"ETH",1990,-1.21001923084259
"ETH",1991,-1.21001923084259
"ETH",1992,-1.21001923084259
"ETH",1993,-1.91655135154724
"ETH",1994,-1.91655135154724
"ETH",1995,-1.21001923084259
"ETH",1996,-1.21001923084259
"ETH",1997,-1.21001923084259
"ETH",1998,-1.21001923084259
"ETH",1999,-1.21001923084259
"ETH",2000,-1.21001923084259
"ETH",2001,-1.21001923084259
"ETH",2002,-1.21001923084259
"ETH",2003,-1.21001923084259
"ETH",2004,-1.21001923084259
"ETH",2005,-1.21001923084259
"ETH",2006,-1.21001923084259
"ETH",2007,-1.21001923084259
"ETH",2008,-1.21001923084259
"ETH",2009,-1.21001923084259
"ETH",2010,-1.21001923084259
"ETH",2011,-1.21001923084259
"ETH",2012,-1.21001923084259
"ETH",2013,-1.21001923084259
"ETH",2014,-1.21001923084259
"ETH",2015,-1.21001923084259
"ETH",2016,-1.21001923084259
"ETH",2017,-1.21001923084259
"GAB",1980,-0.141151502728462
"GAB",1981,-0.141151502728462
"GAB",1982,-0.141151502728462
"GAB",1983,-0.141151502728462
"GAB",1984,-0.141151502728462
"GAB",1985,-0.141151502728462
"GAB",1986,-0.141151502728462
"GAB",1987,-0.141151502728462
"GAB",1988,-0.141151502728462
"GAB",1989,-0.141151502728462
"GAB",1990,-0.141151502728462
"GAB",1991,-0.141151502728462
"GAB",1992,-0.141151502728462
"GAB",1993,-0.141151502728462
"GAB",1994,-0.141151502728462
"GAB",1995,-0.141151502728462
"GAB",1996,-1.21001923084259
"GAB",1997,-1.21001923084259
"GAB",1998,-1.21001923084259
"GAB",1999,-1.21001923084259
"GAB",2000,-1.21001923084259
"GAB",2001,-1.21001923084259
"GAB",2002,-1.21001923084259
"GAB",2003,-1.21001923084259
"GAB",2004,-1.21001923084259
"GAB",2005,-1.21001923084259
"GAB",2006,-1.21001923084259
"GAB",2007,-1.21001923084259
"GAB",2008,-1.21001923084259
"GAB",2009,-1.21001923084259
"GAB",2010,-1.21001923084259
"GAB",2011,-1.21001923084259
"GAB",2012,-1.21001923084259
"GAB",2013,-1.21001923084259
"GAB",2014,-1.21001923084259
"GAB",2015,-1.21001923084259
"GAB",2016,-1.21001923084259
"GAB",2017,-1.21001923084259
"GMB",1980,-1.21001923084259
"GMB",1981,-1.91655135154724
"GMB",1982,-1.91655135154724
"GMB",1983,-1.91655135154724
"GMB",1984,-1.91655135154724
"GMB",1985,-1.91655135154724
"GMB",1986,-0.847683548927307
"GMB",1987,-0.141151502728462
"GMB",1988,-0.141151502728462
"GMB",1989,-0.141151502728462
"GMB",1990,-0.141151502728462
"GMB",1991,0.11515212059021
"GMB",1992,0.371455758810043
"GMB",1993,0.627759397029877
"GMB",1994,2.09040427207947
"GMB",1995,2.34670782089233
"GMB",1996,2.34670782089233
"GMB",1997,2.34670782089233
"GMB",1998,2.34670782089233
"GMB",1999,2.34670782089233
"GMB",2000,2.34670782089233
"GMB",2001,2.34670782089233
"GMB",2002,2.34670782089233
"GMB",2003,2.34670782089233
"GMB",2004,2.34670782089233
"GMB",2005,2.34670782089233
"GMB",2006,2.34670782089233
"GMB",2007,2.34670782089233
"GMB",2008,2.34670782089233
"GMB",2009,2.34670782089233
"GMB",2010,2.34670782089233
"GMB",2011,2.34670782089233
"GMB",2012,2.34670782089233
"GMB",2013,2.34670782089233
"GMB",2014,2.34670782089233
"GMB",2015,2.34670782089233
"GMB",2016,2.34670782089233
"GMB",2017,2.34670782089233
"GHA",1980,-1.91655135154724
"GHA",1981,-1.91655135154724
"GHA",1982,-1.91655135154724
"GHA",1983,-1.91655135154724
"GHA",1984,-1.91655135154724
"GHA",1985,-1.91655135154724
"GHA",1986,-1.91655135154724
"GHA",1987,-1.91655135154724
"GHA",1988,-1.91655135154724
"GHA",1989,-1.91655135154724
"GHA",1990,-1.91655135154724
"GHA",1991,-1.91655135154724
"GHA",1992,-1.91655135154724
"GHA",1993,-1.91655135154724
"GHA",1994,-0.847683548927307
"GHA",1995,-0.141151502728462
"GHA",1996,-1.21001923084259
"GHA",1997,-1.21001923084259
"GHA",1998,-1.21001923084259
"GHA",1999,-1.21001923084259
"GHA",2000,-1.21001923084259
"GHA",2001,-1.21001923084259
"GHA",2002,-1.21001923084259
"GHA",2003,-1.21001923084259
"GHA",2004,-1.21001923084259
"GHA",2005,-1.21001923084259
"GHA",2006,-1.21001923084259
"GHA",2007,-1.21001923084259
"GHA",2008,-1.21001923084259
"GHA",2009,-1.21001923084259
"GHA",2010,-1.21001923084259
"GHA",2011,-1.21001923084259
"GHA",2012,-1.91655135154724
"GHA",2013,-1.91655135154724
"GHA",2014,-1.91655135154724
"GHA",2015,-1.91655135154724
"GHA",2016,-1.91655135154724
"GHA",2017,-1.91655135154724
"GNB",1980,NA
"GNB",1981,-1.21001923084259
"GNB",1982,-1.21001923084259
"GNB",1983,-1.21001923084259
"GNB",1984,-1.21001923084259
"GNB",1985,-1.21001923084259
"GNB",1986,-1.21001923084259
"GNB",1987,-1.21001923084259
"GNB",1988,-1.21001923084259
"GNB",1989,-1.21001923084259
"GNB",1990,-1.21001923084259
"GNB",1991,-1.21001923084259
"GNB",1992,-1.21001923084259
"GNB",1993,-1.91655135154724
"GNB",1994,-1.91655135154724
"GNB",1995,-1.91655135154724
"GNB",1996,-1.66024768352509
"GNB",1997,-0.953715622425079
"GNB",1998,-0.953715622425079
"GNB",1999,-0.953715622425079
"GNB",2000,-0.953715622425079
"GNB",2001,-1.21001923084259
"GNB",2002,-1.21001923084259
"GNB",2003,-1.21001923084259
"GNB",2004,-1.21001923084259
"GNB",2005,-1.21001923084259
"GNB",2006,-1.21001923084259
"GNB",2007,-1.21001923084259
"GNB",2008,-1.21001923084259
"GNB",2009,-1.21001923084259
"GNB",2010,-1.21001923084259
"GNB",2011,-1.21001923084259
"GNB",2012,-1.21001923084259
"GNB",2013,-1.21001923084259
"GNB",2014,-1.21001923084259
"GNB",2015,-1.21001923084259
"GNB",2016,-1.21001923084259
"GNB",2017,-1.21001923084259
"GIN",1980,-1.21001923084259
"GIN",1981,-1.21001923084259
"GIN",1982,-1.21001923084259
"GIN",1983,-1.21001923084259
"GIN",1984,-1.21001923084259
"GIN",1985,-1.21001923084259
"GIN",1986,-1.21001923084259
"GIN",1987,-1.21001923084259
"GIN",1988,-1.21001923084259
"GIN",1989,-1.21001923084259
"GIN",1990,-1.21001923084259
"GIN",1991,-1.21001923084259
"GIN",1992,-1.21001923084259
"GIN",1993,-1.21001923084259
"GIN",1994,-1.21001923084259
"GIN",1995,-1.21001923084259
"GIN",1996,-1.21001923084259
"GIN",1997,-1.21001923084259
"GIN",1998,-1.21001923084259
"GIN",1999,-1.21001923084259
"GIN",2000,-1.21001923084259
"GIN",2001,-1.21001923084259
"GIN",2002,-1.21001923084259
"GIN",2003,-1.91655135154724
"GIN",2004,-1.91655135154724
"GIN",2005,-1.21001923084259
"GIN",2006,-1.91655135154724
"GIN",2007,-1.91655135154724
"GIN",2008,-1.91655135154724
"GIN",2009,-1.91655135154724
"GIN",2010,-1.91655135154724
"GIN",2011,-1.91655135154724
"GIN",2012,-1.91655135154724
"GIN",2013,-1.91655135154724
"GIN",2014,-1.91655135154724
"GIN",2015,-1.91655135154724
"GIN",2016,-1.91655135154724
"GIN",2017,-1.91655135154724
"CIV",1980,-0.141151502728462
"CIV",1981,-0.141151502728462
"CIV",1982,-0.141151502728462
"CIV",1983,-0.141151502728462
"CIV",1984,-0.141151502728462
"CIV",1985,-0.141151502728462
"CIV",1986,-0.141151502728462
"CIV",1987,-1.21001923084259
"CIV",1988,-1.21001923084259
"CIV",1989,-1.21001923084259
"CIV",1990,-1.21001923084259
"CIV",1991,-1.21001923084259
"CIV",1992,-1.21001923084259
"CIV",1993,-0.141151502728462
"CIV",1994,-0.141151502728462
"CIV",1995,-0.141151502728462
"CIV",1996,-1.21001923084259
"CIV",1997,-1.21001923084259
"CIV",1998,-1.21001923084259
"CIV",1999,-1.21001923084259
"CIV",2000,-1.21001923084259
"CIV",2001,-1.21001923084259
"CIV",2002,-1.21001923084259
"CIV",2003,-1.21001923084259
"CIV",2004,-1.21001923084259
"CIV",2005,-1.21001923084259
"CIV",2006,-1.21001923084259
"CIV",2007,-1.21001923084259
"CIV",2008,-1.21001923084259
"CIV",2009,-1.21001923084259
"CIV",2010,-1.21001923084259
"CIV",2011,-1.21001923084259
"CIV",2012,-1.21001923084259
"CIV",2013,-1.21001923084259
"CIV",2014,-1.21001923084259
"CIV",2015,-1.21001923084259
"CIV",2016,-1.21001923084259
"CIV",2017,-1.21001923084259
"KEN",1980,-1.21001923084259
"KEN",1981,-1.21001923084259
"KEN",1982,-1.21001923084259
"KEN",1983,-1.21001923084259
"KEN",1984,-1.21001923084259
"KEN",1985,-1.21001923084259
"KEN",1986,-1.21001923084259
"KEN",1987,-1.21001923084259
"KEN",1988,-1.21001923084259
"KEN",1989,-1.21001923084259
"KEN",1990,-1.21001923084259
"KEN",1991,-1.21001923084259
"KEN",1992,-1.91655135154724
"KEN",1993,-1.91655135154724
"KEN",1994,-1.91655135154724
"KEN",1995,-1.91655135154724
"KEN",1996,1.06518971920013
"KEN",1997,1.06518971920013
"KEN",1998,1.06518971920013
"KEN",1999,1.06518971920013
"KEN",2000,1.06518971920013
"KEN",2001,1.06518971920013
"KEN",2002,1.06518971920013
"KEN",2003,1.06518971920013
"KEN",2004,1.06518971920013
"KEN",2005,1.06518971920013
"KEN",2006,1.06518971920013
"KEN",2007,1.06518971920013
"KEN",2008,1.06518971920013
"KEN",2009,1.06518971920013
"KEN",2010,1.06518971920013
"KEN",2011,1.06518971920013
"KEN",2012,1.06518971920013
"KEN",2013,1.06518971920013
"KEN",2014,1.06518971920013
"KEN",2015,1.06518971920013
"KEN",2016,1.06518971920013
"KEN",2017,1.06518971920013
"LSO",1980,-0.847683548927307
"LSO",1981,-0.847683548927307
"LSO",1982,-0.141151502728462
"LSO",1983,-0.141151502728462
"LSO",1984,-0.141151502728462
"LSO",1985,-0.847683548927307
"LSO",1986,-0.847683548927307
"LSO",1987,-0.847683548927307
"LSO",1988,-0.847683548927307
"LSO",1989,-0.847683548927307
"LSO",1990,-0.847683548927307
"LSO",1991,-0.847683548927307
"LSO",1992,-0.847683548927307
"LSO",1993,-0.847683548927307
"LSO",1994,-0.847683548927307
"LSO",1995,-0.847683548927307
"LSO",1996,-1.21001923084259
"LSO",1997,-1.21001923084259
"LSO",1998,-1.21001923084259
"LSO",1999,-1.21001923084259
"LSO",2000,-1.21001923084259
"LSO",2001,-1.21001923084259
"LSO",2002,-1.21001923084259
"LSO",2003,-1.21001923084259
"LSO",2004,-1.21001923084259
"LSO",2005,-1.21001923084259
"LSO",2006,-1.21001923084259
"LSO",2007,-1.21001923084259
"LSO",2008,-1.21001923084259
"LSO",2009,-1.21001923084259
"LSO",2010,-1.21001923084259
"LSO",2011,-1.21001923084259
"LSO",2012,-1.21001923084259
"LSO",2013,-1.21001923084259
"LSO",2014,-1.21001923084259
"LSO",2015,-1.21001923084259
"LSO",2016,-1.21001923084259
"LSO",2017,-1.21001923084259
"LBR",1980,2.34670782089233
"LBR",1981,2.34670782089233
"LBR",1982,2.34670782089233
"LBR",1983,2.34670782089233
"LBR",1984,2.34670782089233
"LBR",1985,2.09040427207947
"LBR",1986,0.627759397029877
"LBR",1987,0.371455758810043
"LBR",1988,0.11515212059021
"LBR",1989,-0.141151502728462
"LBR",1990,-0.141151502728462
"LBR",1991,-0.141151502728462
"LBR",1992,-0.141151502728462
"LBR",1993,-0.141151502728462
"LBR",1994,-0.141151502728462
"LBR",1995,-0.141151502728462
