"iso3c","year","LeftWing"
"BRN",2007,NA
"BRN",2008,NA
"BRN",2009,NA
"BRN",2010,NA
"BRN",2011,NA
"BRN",2012,NA
"BRN",2013,NA
"BRN",2014,NA
"BRN",2015,NA
"BRN",2016,NA
"BRN",2017,NA
"BTN",1980,NA
"BTN",1981,NA
"BTN",1982,NA
"BTN",1983,NA
"BTN",1984,NA
"BTN",1985,NA
"BTN",1986,NA
"BTN",1987,NA
"BTN",1988,NA
"BTN",1989,NA
"BTN",1990,NA
"BTN",1991,NA
"BTN",1992,NA
"BTN",1993,NA
"BTN",1994,NA
"BTN",1995,NA
"BTN",1996,NA
"BTN",1997,NA
"BTN",1998,NA
"BTN",1999,NA
"BTN",2000,NA
"BTN",2001,NA
"BTN",2002,NA
"BTN",2003,NA
"BTN",2004,NA
"BTN",2005,NA
"BTN",2006,NA
"BTN",2007,NA
"BTN",2008,NA
"BTN",2009,NA
"BTN",2010,NA
"BTN",2011,NA
"BTN",2012,NA
"BTN",2013,NA
"BTN",2014,NA
"BTN",2015,NA
"BTN",2016,NA
"BTN",2017,NA
"BWA",1980,NA
"BWA",1981,NA
"BWA",1982,NA
"BWA",1983,NA
"BWA",1984,NA
"BWA",1985,NA
"BWA",1986,NA
"BWA",1987,NA
"BWA",1988,NA
"BWA",1989,NA
"BWA",1990,NA
"BWA",1991,NA
"BWA",1992,NA
"BWA",1993,NA
"BWA",1994,NA
"BWA",1995,NA
"BWA",1996,NA
"BWA",1997,NA
"BWA",1998,NA
"BWA",1999,NA
"BWA",2000,NA
"BWA",2001,NA
"BWA",2002,NA
"BWA",2003,NA
"BWA",2004,NA
"BWA",2005,NA
"BWA",2006,NA
"BWA",2007,NA
"BWA",2008,NA
"BWA",2009,NA
"BWA",2010,NA
"BWA",2011,NA
"BWA",2012,NA
"BWA",2013,NA
"BWA",2014,NA
"BWA",2015,NA
"BWA",2016,NA
"BWA",2017,NA
"CAF",1980,NA
"CAF",1981,NA
"CAF",1982,NA
"CAF",1983,NA
"CAF",1984,NA
"CAF",1985,NA
"CAF",1986,NA
"CAF",1987,NA
"CAF",1988,NA
"CAF",1989,NA
"CAF",1990,NA
"CAF",1991,NA
"CAF",1992,NA
"CAF",1993,NA
"CAF",1994,NA
"CAF",1995,NA
"CAF",1996,NA
"CAF",1997,NA
"CAF",1998,NA
"CAF",1999,NA
"CAF",2000,NA
"CAF",2001,NA
"CAF",2002,NA
"CAF",2003,NA
"CAF",2004,NA
"CAF",2005,NA
"CAF",2006,NA
"CAF",2007,NA
"CAF",2008,NA
"CAF",2009,NA
"CAF",2010,NA
"CAF",2011,NA
"CAF",2012,NA
"CAF",2013,NA
"CAF",2014,NA
"CAF",2015,NA
"CAF",2016,NA
"CAF",2017,NA
"CAN",1980,NA
"CAN",1981,1
"CAN",1982,1
"CAN",1983,1
"CAN",1984,1
"CAN",1985,NA
"CAN",1986,NA
"CAN",1987,NA
"CAN",1988,NA
"CAN",1989,NA
"CAN",1990,NA
"CAN",1991,NA
"CAN",1992,NA
"CAN",1993,NA
"CAN",1994,1
"CAN",1995,1
"CAN",1996,1
"CAN",1997,1
"CAN",1998,1
"CAN",1999,1
"CAN",2000,1
"CAN",2001,1
"CAN",2002,1
"CAN",2003,1
"CAN",2004,1
"CAN",2005,1
"CAN",2006,1
"CAN",2007,NA
"CAN",2008,NA
"CAN",2009,NA
"CAN",2010,NA
"CAN",2011,NA
"CAN",2012,NA
"CAN",2013,NA
"CAN",2014,NA
"CAN",2015,NA
"CAN",2016,1
"CAN",2017,1
"CHE",1980,NA
"CHE",1981,NA
"CHE",1982,NA
"CHE",1983,NA
"CHE",1984,NA
"CHE",1985,NA
"CHE",1986,NA
"CHE",1987,NA
"CHE",1988,NA
"CHE",1989,NA
"CHE",1990,NA
"CHE",1991,NA
"CHE",1992,NA
"CHE",1993,NA
"CHE",1994,NA
"CHE",1995,NA
"CHE",1996,NA
"CHE",1997,NA
"CHE",1998,NA
"CHE",1999,NA
"CHE",2000,NA
"CHE",2001,NA
"CHE",2002,NA
"CHE",2003,NA
"CHE",2004,NA
"CHE",2005,NA
"CHE",2006,NA
"CHE",2007,NA
"CHE",2008,NA
"CHE",2009,NA
"CHE",2010,NA
"CHE",2011,NA
"CHE",2012,NA
"CHE",2013,NA
"CHE",2014,NA
"CHE",2015,NA
"CHE",2016,NA
"CHE",2017,NA
"CHL",1980,NA
"CHL",1981,NA
"CHL",1982,NA
"CHL",1983,NA
"CHL",1984,NA
"CHL",1985,NA
"CHL",1986,NA
"CHL",1987,NA
"CHL",1988,NA
"CHL",1989,NA
"CHL",1990,NA
"CHL",1991,NA
"CHL",1992,NA
"CHL",1993,NA
"CHL",1994,1
"CHL",1995,1
"CHL",1996,1
"CHL",1997,1
"CHL",1998,1
"CHL",1999,1
"CHL",2000,1
"CHL",2001,1
"CHL",2002,1
"CHL",2003,1
"CHL",2004,1
"CHL",2005,1
"CHL",2006,1
"CHL",2007,1
"CHL",2008,1
"CHL",2009,1
"CHL",2010,1
"CHL",2011,NA
"CHL",2012,NA
"CHL",2013,NA
"CHL",2014,NA
"CHL",2015,NA
"CHL",2016,NA
"CHL",2017,NA
"CHN",1980,1
"CHN",1981,1
"CHN",1982,1
"CHN",1983,1
"CHN",1984,1
"CHN",1985,1
"CHN",1986,1
"CHN",1987,1
"CHN",1988,1
"CHN",1989,1
"CHN",1990,1
"CHN",1991,1
"CHN",1992,1
"CHN",1993,1
"CHN",1994,1
"CHN",1995,1
"CHN",1996,1
"CHN",1997,1
"CHN",1998,1
"CHN",1999,1
"CHN",2000,1
"CHN",2001,1
"CHN",2002,1
"CHN",2003,1
"CHN",2004,1
"CHN",2005,1
"CHN",2006,1
"CHN",2007,1
"CHN",2008,1
"CHN",2009,1
"CHN",2010,1
"CHN",2011,1
"CHN",2012,1
"CHN",2013,1
"CHN",2014,1
"CHN",2015,1
"CHN",2016,1
"CHN",2017,1
"CIV",1980,NA
"CIV",1981,NA
"CIV",1982,NA
"CIV",1983,NA
"CIV",1984,NA
"CIV",1985,NA
"CIV",1986,NA
"CIV",1987,NA
"CIV",1988,NA
"CIV",1989,NA
"CIV",1990,NA
"CIV",1991,NA
"CIV",1992,NA
"CIV",1993,NA
"CIV",1994,NA
"CIV",1995,NA
"CIV",1996,NA
"CIV",1997,NA
"CIV",1998,NA
"CIV",1999,NA
"CIV",2000,NA
"CIV",2001,1
"CIV",2002,1
"CIV",2003,1
"CIV",2004,1
"CIV",2005,1
"CIV",2006,1
"CIV",2007,1
"CIV",2008,1
"CIV",2009,1
"CIV",2010,1
"CIV",2011,NA
"CIV",2012,NA
"CIV",2013,NA
"CIV",2014,NA
"CIV",2015,NA
"CIV",2016,NA
"CIV",2017,NA
"CMR",1980,NA
"CMR",1981,NA
"CMR",1982,NA
"CMR",1983,NA
"CMR",1984,NA
"CMR",1985,NA
"CMR",1986,NA
"CMR",1987,NA
"CMR",1988,NA
"CMR",1989,NA
"CMR",1990,NA
"CMR",1991,NA
"CMR",1992,NA
"CMR",1993,NA
"CMR",1994,NA
"CMR",1995,NA
"CMR",1996,NA
"CMR",1997,NA
"CMR",1998,NA
"CMR",1999,NA
"CMR",2000,NA
"CMR",2001,NA
"CMR",2002,NA
"CMR",2003,NA
"CMR",2004,NA
"CMR",2005,NA
"CMR",2006,NA
"CMR",2007,NA
"CMR",2008,NA
"CMR",2009,NA
"CMR",2010,NA
"CMR",2011,NA
"CMR",2012,NA
"CMR",2013,NA
"CMR",2014,NA
"CMR",2015,NA
"CMR",2016,NA
"CMR",2017,NA
"COG",1980,1
"COG",1981,1
"COG",1982,1
"COG",1983,1
"COG",1984,1
"COG",1985,1
"COG",1986,1
"COG",1987,1
"COG",1988,1
"COG",1989,1
"COG",1990,1
"COG",1991,1
"COG",1992,1
"COG",1993,1
"COG",1994,1
"COG",1995,1
"COG",1996,1
"COG",1997,1
"COG",1998,1
"COG",1999,1
"COG",2000,1
"COG",2001,1
"COG",2002,1
"COG",2003,1
"COG",2004,1
"COG",2005,1
"COG",2006,1
"COG",2007,1
"COG",2008,1
"COG",2009,1
"COG",2010,1
"COG",2011,1
"COG",2012,1
"COG",2013,1
"COG",2014,1
"COG",2015,1
"COG",2016,1
"COG",2017,1
"COL",1980,NA
"COL",1981,NA
"COL",1982,NA
"COL",1983,NA
"COL",1984,NA
"COL",1985,NA
"COL",1986,NA
"COL",1987,NA
"COL",1988,NA
"COL",1989,NA
"COL",1990,NA
