"year","iso3c","EFW","GovSize","LegalSystem","SoundMoney","TradeFreedom","Regulation"
2009,"AUT","7.759317299","5.402314798","8.237664429","9.577569235","8.031041246","7.547996785"
2008,"AUT","7.810875959","5.578591962","8.375655024","9.543622926","8.031632781","7.524877103"
2007,"AUT","7.922223656","5.651738179","8.661697273","9.558188808","8.145749623","7.593744397"
2006,"AUT","7.942628223","5.673856051","8.717311384","9.535218409","8.162045917","7.624709352"
2005,"AUT","7.929440622","5.709490938","8.675041977","9.554900533","8.145748565","7.562021099"
2004,"AUT","7.97854122","5.676248162","8.366002494","9.620561246","8.656315337","7.573578864"
2003,"AUT","8.020672541","5.645220974","8.40543836","9.650573789","8.7394036","7.662725984"
2002,"AUT","7.896692167","5.349118205","8.244043716","9.628546765","8.678698599","7.583053551"
2001,"AUT","7.897679764","5.396088334","8.415925801","9.577747088","8.860503531","7.238134066"
2000,"AUT","8.002884946","5.46424158","8.613876725","9.627837233","8.966296217","7.342172973"
1995,"AUT","7.175915511","3.227070502","8.159666547","9.545133257","8.780922391","5.880123572"
1990,"AUT","6.983981627","3.557493303","7.697943088","9.627992104","7.529936566","6.387134273"
1985,"AUT","6.344609944","3.002806343","7.265881238","8.309157925","6.553341633","6.486278361"
1980,"AUT","6.333808101","3.097854942","7.416098592","8.397762791","6.491492889","6.149142339"
2017,"AZE","6.324673265","4.836523123","5.487147346","6.849835707","7.28912396","7.160736191"
2016,"AZE","6.448999953","5.027355452","5.652732259","7.513486983","7.22432152","6.827103551"
2015,"AZE","6.329151775","4.951659007","5.321383003","7.307812065","7.11476609","6.950138708"
2014,"AZE","6.364879286","4.966817326","5.225288614","7.44576079","7.096841821","7.089687878"
2013,"AZE","6.187087952","4.983800129","5.21886866","6.767543008","6.914912129","7.050315832"
2012,"AZE","6.26863846","4.699128351","5.946932309","6.860890335","6.78871053","7.047530774"
2011,"AZE","6.108226754","4.748763453","5.82113439","6.454887706","6.540950836","6.975397385"
2010,"AZE","5.956396011","4.254666885","5.741749521","6.252251254","6.484205675","7.049106718"
2009,"AZE","6.083695112","4.472420672","5.708163335","6.576887293","6.421435677","7.239568579"
2008,"AZE","6.149585601","4.667302865","6.154806351","6.303003547","6.433359526","7.189455716"
2007,"AZE","6.114164253","4.407923157","6.133604556","6.71457155","6.456954977","6.857767025"
2006,"AZE","6.103791874","4.777923157","5.590387209","7.590038365","6.108454187","6.45215645"
2005,"AZE","6.012162314","4.795287875","5.645446668","7.254071623","6.089415246","6.276590158"
2004,"AZE","6.134166795","5.11586993","5.546749856","7.632394017","5.965806005","6.410014169"
2003,"AZE","","","","","",""
2002,"AZE","","","","","",""
2001,"AZE","","","","","",""
2000,"AZE","","","","","",""
1995,"AZE","","","","","",""
1990,"AZE","","","","","",""
1985,"AZE","","","","","",""
1980,"AZE","","","","","",""
2017,"BHS","7.260366445","8.096860474","6.522512959","6.878385767","6.535609531","8.268463494"
2016,"BHS","7.337917682","8.181557541","6.658107268","6.890103656","6.734790557","8.225029385"
2015,"BHS","7.359682727","8.288067041","6.80080997","6.779305572","6.705201668","8.225029385"
2014,"BHS","7.34539399","8.265440117","6.492651749","6.872904914","6.753090557","8.34288261"
2013,"BHS","7.349433333","8.196323589","6.480818625","7.107396797","6.606395373","8.35623228"
2012,"BHS","7.325665752","8.172916437","6.480818625","7.080301537","6.3414817","8.552810459"
2011,"BHS","7.326127316","8.122112919","6.430820635","7.110323755","6.319259478","8.648119794"
2010,"BHS","7.401583814","8.193378346","6.392441377","7.298387146","6.350370589","8.773341612"
2009,"BHS","7.49863622","8.120302913","6.805854003","7.074973192","6.310892812","9.181158178"
2008,"BHS","7.619607685","8.287745318","6.94207022","6.822533439","6.731119513","9.314569934"
2007,"BHS","7.576939804","8.274221089","6.92261076","6.740362336","6.743341736","9.204163099"
