"iso3c","value","year"
"LUX","36.7",1995
"NLD","36.0",1995
"CHE","37.2",1995
"CAN","34.8",1995
"USA","34.0",1995
"BDI","15.0",2000
"COM","17.7",2000
"DJI","19.3",2000
"ERI","16.6",2000
"ETH","16.6",2000
"KEN","17.0",2000
"MDG","17.3",2000
"MWI","16.9",2000
"MUS","29.0",2000
"MYT","17.7",2000
"MOZ","17.6",2000
"REU","28.0",2000
"RWA","17.4",2000
"SYC","26.2",2000
"SOM","16.5",2000
"SSD","17.6",2000
"UGA","15.2",2000
"TZA","17.4",2000
"ZMB","16.6",2000
"ZWE","18.2",2000
"AGO","16.3",2000
"CMR","17.2",2000
"CAF","18.1",2000
"TCD","15.5",2000
"COG","18.6",2000
"COD","17.2",2000
"GNQ","19.6",2000
"GAB","19.3",2000
"STP","17.2",2000
"BWA","19.7",2000
"SWZ","17.7",2000
"LSO","19.0",2000
"NAM","18.5",2000
"ZAF","22.6",2000
"BEN","17.3",2000
"BFA","16.4",2000
"CPV","18.0",2000
"CIV","18.0",2000
"GMB","16.5",2000
"GHA","18.5",2000
"GIN","16.7",2000
"GNB","17.0",2000
"LBR","18.4",2000
"MLI","16.6",2000
"MRT","17.9",2000
"NER","15.9",2000
"NGA","17.9",2000
"SEN","17.3",2000
"SLE","17.7",2000
"TGO","18.0",2000
"DZA","21.7",2000
"EGY","21.1",2000
"LBY","22.1",2000
"MAR","22.7",2000
"SDN","17.9",2000
"TUN","25.1",2000
"ESH","22.3",2000
"ARM","30.6",2000
"AZE","25.6",2000
"BHR","26.6",2000
"CYP","31.8",2000
"GEO","34.7",2000
"IRQ","18.2",2000
"ISR","28.0",2000
"JOR","19.6",2000
"KWT","27.8",2000
"LBN","25.1",2000
"OMN","20.9",2000
"QAT","30.5",2000
"SAU","21.3",2000
"PSE","16.0",2000
"SYR","18.7",2000
"TUR","24.9",2000
"ARE","28.0",2000
"YEM","15.5",2000
"KAZ","27.8",2000
"KGZ","22.5",2000
"TJK","18.3",2000
"TKM","21.7",2000
"UZB","21.0",2000
"AFG","15.5",2000
"BGD","21.0",2000
"BTN","19.5",2000
"IND","22.7",2000
"IRN","21.2",2000
"MDV","18.7",2000
"NPL","19.3",2000
"PAK","18.8",2000
"LKA","27.6",2000
"CHN","30.0",2000
"HKG","36.2",2000
"MAC","33.4",2000
"PRK","29.4",2000
"JPN","41.2",2000
"MNG","22.0",2000
"KOR","31.9",2000
"BRN","25.5",2000
"KHM","18.1",2000
"IDN","24.4",2000
"LAO","18.0",2000
"MYS","23.8",2000
"MMR","23.3",2000
"PHL","20.5",2000
"SGP","34.8",2000
"THA","30.2",2000
"TLS","17.6",2000
"VNM","24.2",2000
"ATG","28.1",2000
"ABW","34.4",2000
"BHS","27.0",2000
"BRB","33.7",2000
"CUB","32.8",2000
"CUW","35.5",2000
"DOM","22.5",2000
"GRD","23.9",2000
"GLP","32.2",2000
"HTI","19.1",2000
"JAM","24.9",2000
"MTQ","34.1",2000
"PRI","32.3",2000
"LCA","24.2",2000
"VCT","24.2",2000
"TTO","27.7",2000
"VIR","33.7",2000
"BLZ","19.2",2000
"CRI","25.3",2000
"SLV","22.0",2000
"GTM","17.7",2000
"HND","18.2",2000
"MEX","22.9",2000
"NIC","19.3",2000
"PAN","24.5",2000
"ARG","27.6",2000
"BOL","21.1",2000
"BRA","25.3",2000
"CHL","28.7",2000
"COL","24.1",2000
"ECU","22.6",2000
"GUF","23.9",2000
"GUY","22.7",2000
"PRY","20.3",2000
"PER","22.7",2000
"SUR","24.8",2000
"URY","31.6",2000
"VEN","23.2",2000
"AUS","35.4",2000
"NZL","34.3",2000
"FJI","22.1",2000
"NCL","27.2",2000
"PNG","19.8",2000
"SLB","18.7",2000
"VUT","18.8",2000
"GUM","27.3",2000
"KIR","19.7",2000
"FSM","18.9",2000
"PYF","25.6",2000
"WSM","19.5",2000
"TON","19.9",2000
"BLR","36.5",2000
"BGR","39.7",2000
"CZE","37.5",2000
"HUN","38.5",2000
"POL","35.0",2000
"MDA","31.3",2000
"ROU","34.9",2000
"RUS","36.5",2000
"SVK","33.9",2000
"UKR","37.8",2000
"DNK","38.4",2000
"EST","38.0",2000
"FIN","39.4",2000
"ISL","32.9",2000
"IRL","31.8",2000
"LVA","37.9",2000
"LTU","35.9",2000
"NOR","36.9",2000
"SWE","39.4",2000
"GBR","37.6",2000
"ALB","27.0",2000
"BIH","35.0",2000
"HRV","38.9",2000
"GRC","38.0",2000
"ITA","40.3",2000
"MLT","36.5",2000
"MNE","34.4",2000
"MKD","32.3",2000
"PRT","37.8",2000
"SRB","36.1",2000
"SVN","38.1",2000
"ESP","37.6",2000
"AUT","38.2",2000
"BEL","39.0",2000
"FRA","37.7",2000
"DEU","40.1",2000
"LUX","37.3",2000
"NLD","37.5",2000
"CHE","38.6",2000
"CAN","36.8",2000
"USA","35.2",2000
"BDI","16.2",2005
"COM","18.4",2005
"DJI","20.1",2005
"ERI","19.1",2005
"ETH","16.7",2005
"KEN","17.6",2005
"MDG","17.5",2005
"MWI","16.6",2005
