"iso3c","year","meanwage.ILO"
"DOM",2011,589.39
"DOM",2012,630.53
"DOM",2013,614.23
"DOM",2014,630.41
"DOM",2015,565.14
"DOM",2016,629.99
"EGY",2008,51.77
"EGY",2009,156.99
"EGY",2010,475.45
"EGY",2011,529.27
"EGY",2012,689.41
"EGY",2013,688.24
"EGY",2015,750.02
"EGY",2016,789.01
"ESP",2008,2211.94
"ESP",2009,2269.6
"ESP",2010,2295.44
"ESP",2011,2326.48
"ESP",2012,2354.56
"ESP",2013,2464.36
"ESP",2014,2527.88
"ESP",2015,2565.37
"ESP",2016,2572.8
"EST",2010,1395.46
"EST",2011,1427.28
"EST",2012,1483.13
"EST",2013,1586.51
"EST",2014,1779.7
"EST",2015,1765.56
"EST",2016,1915.57
"ETH",2005,158.9
"ETH",2013,191.53
"FIN",2009,3023.39
"FIN",2010,3108.68
"FIN",2011,2978.75
"FIN",2012,3006.36
"FIN",2013,3120.9
"FIN",2014,3134.53
"FIN",2015,3100.05
"FJI",2005,559.29
"FJI",2011,758.03
"FJI",2016,870.26
"FRA",1999,1414.88
"FRA",2000,1491.74
"FRA",2001,1573.76
"FRA",2002,1650.05
"FRA",2005,2707.91
"FRA",2006,2782.68
"FRA",2010,2859.45
"FRA",2011,3157.48
"FRA",2012,3247.66
"FRA",2013,3373.62
"FRA",2014,3228.73
"FRA",2015,3396.71
"FRA",2016,3472.86
"GBR",1990,1340.61
"GBR",1991,1344.62
"GBR",1999,2186.95
"GBR",2000,2518.46
"GBR",2001,2577.23
"GBR",2002,2678.35
"GBR",2003,2779.2
"GBR",2004,2953.14
"GBR",2005,2936.59
"GBR",2006,3090.24
"GBR",2007,3137.27
"GBR",2009,2674.18
"GBR",2010,2723.02
"GBR",2011,2722.21
"GBR",2012,2705.77
"GBR",2013,2751.98
"GBR",2015,2740.14
"GBR",2016,2857.75
"GEO",2011,755.39
"GHA",2006,2566682.48
"GHA",2013,688.72
"GHA",2015,730.4
"GMB",1993,99.41
"GMB",1994,166.85
"GMB",1998,284.6
"GMB",2012,469.75
"GRC",2007,1247.59
"GRC",2008,1315.29
"GRC",2009,1370.11
"GRC",2010,1359.35
"GRC",2011,1360
"GRC",2012,1252
"GRC",2013,1254.72
"GRC",2014,1283.95
"GRC",2015,1261.5
"GRC",2016,1302.58
"GTM",1990,304.32
"GTM",1991,301.15
"GTM",1992,357.4
"GTM",1993,399.31
"GTM",1994,418.46
"GTM",1995,481.87
"GTM",1996,543.93
"GTM",1997,571.97
"GTM",1998,601.83
"GTM",1999,650.62
"GTM",2000,698.22
"GTM",2001,721.58
"GTM",2002,726.36
"GTM",2003,746.19
"GTM",2004,749.02
"GTM",2005,743.6
"GTM",2006,759.02
"GTM",2007,763.53
"GTM",2008,743.6
"GTM",2010,727.3
"GTM",2011,721.96
"GTM",2012,726.04
"GTM",2013,766.16
"GTM",2014,789.44
"GTM",2015,759.71
"GTM",2016,750.47
"GUY",2003,537.12
"GUY",2004,722.49
"GUY",2006,572.7
"GUY",2007,651.79
"HKG",2003,1680.83
"HKG",2004,1644.05
"HKG",2007,1810.21
"HKG",2010,1951.17
"HKG",2011,1911.88
"HKG",2013,2089.14
"HKG",2014,2097.34
"HKG",2015,2226.95
"HKG",2016,2326.01
"HND",2005,517.41
"HND",2006,548.76
"HND",2007,574.49
"HND",2008,609.19
"HND",2009,609.55
"HND",2010,629.66
"HND",2011,624.86
"HND",2012,641.2
"HND",2013,615.69
"HND",2014,594.48
"HND",2015,574.84
"HND",2016,597.62
"HRV",1993,283.04
"HRV",1994,332.09
"HRV",1995,478.82
"HRV",1996,841.29
"HRV",1997,926.59
"HRV",1998,996.93
"HRV",1999,1079.07
"HRV",2000,1135.81
"HRV",2001,1150.18
"HRV",2002,1223.83
"HRV",2003,1265.35
"HRV",2004,1321.63
"HRV",2005,1335.77
"HRV",2006,1436.85
"HRV",2007,1534.14
"HRV",2008,1675.61
"HRV",2009,1724.49
"HRV",2010,1752.54
"HRV",2011,1811.31
"HTI",2012,235.81
"HUN",1990,531.85
"HUN",1991,525.56
"HUN",1992,590.1
"HUN",1993,616.5
"HUN",1994,660.1
"HUN",1995,614.18
"HUN",1996,607.76
"HUN",1997,644.1
"HUN",1998,677.93
"HUN",1999,708.5
"HUN",2000,764.08
"HUN",2001,853.85
"HUN",2002,979.95
"HUN",2003,1070.7
"HUN",2004,1075.8
"HUN",2005,1159.16
"HUN",2006,1201.32
"HUN",2007,1227.14
"HUN",2008,1361.56
"HUN",2010,1568.03
"HUN",2011,1657.32
"HUN",2012,1657.42
"HUN",2013,1731.54
"HUN",2014,1770.96
"HUN",2015,1757.71
"HUN",2016,1861.67
"IDN",1990,149.47
"IDN",2000,192.64
"IDN",2001,244.08
"IDN",2002,259.75
"IDN",2003,283.56
"IDN",2004,292.72
"IDN",2005,277.66
"IDN",2006,296.13
"IDN",2007,309.29
"IDN",2008,308.96
"IDN",2009,337.4
"IDN",2010,343.29
"IDN",2011,325.73
"IDN",2012,339.32
"IDN",2013,359.62
"IDN",2014,371.27
"IDN",2015,372.81
"IDN",2016,426.51
"IRL",2008,2882.33
"IRL",2009,3050.19
"IRL",2010,3157.51
"IRL",2011,3143.16
"IRL",2012,3151.71
"IRL",2013,3140.86
"IRL",2014,3076.34
"IRL",2015,3086.28
"IRL",2016,3150.38
"ISL",2009,3154.19
"ISL",2010,3069.6
"ISL",2011,3275.07
"ISL",2012,3382.62
"ISL",2013,3583.78
"ISL",2014,3797.5
"ISL",2015,3993.64
"ISL",2016,4186.41
"ISR",1990,941.39
"ISR",1991,973.62
"ISR",1992,1015.75
"ISR",1993,1050.45
"ISR",1994,1084.31
"ISR",1995,1184.58
"ISR",1996,1274.74
"ISR",1997,1363.08
"ISR",1998,1402.54
"ISR",1999,1455.75
"ISR",2000,1686.18
"ISR",2001,1778.79
"ISR",2002,1723.89
"ISR",2003,1668.55
"ISR",2004,1751.95
"ISR",2005,1773.38
"ISR",2006,1793.06
"ISR",2007,1882.77
"ISR",2008,1867.12
"ISR",2009,1850.01
"ISR",2010,1861.98
"ISR",2011,1949.54
"ISR",2012,2135.64
"ISR",2013,2039.78
"ISR",2014,2036.23
"ISR",2015,2086.99
"ISR",2016,2234.94
"ITA",2010,2791.32
"ITA",2014,2978.13
"ITA",2015,2562.32
"ITA",2016,2675.09
"JAM",2001,302.74
"JAM",2002,310.16
"JAM",2003,1265.42
"JAM",2004,1221.44
"JAM",2005,1184.77
"JAM",2006,1266.34
"JAM",2007,1321.04
"JAM",2008,1286.85
"JAM",2009,1294.56
"JAM",2010,1154.21
"JAM",2013,1215.78
"JOR",1990,447.54
"JOR",1991,431.32
"JOR",1992,460.18
"JOR",1993,481.48
"JOR",2016,1485.7
"JPN",1993,1371.93
"JPN",1994,1425.54
"JPN",1995,1475.43
"JPN",1996,1528.55
"JPN",1997,1554.63
"JPN",1998,1568.2
"JPN",2009,2357.82
"JPN",2010,2447.32
"JPN",2011,2556.35
"JPN",2012,2642.36
"JPN",2013,2774.17
"JPN",2014,2744.05
"JPN",2015,2789.94
"JPN",2016,2782.68
"KAZ",1993,300.96
"KAZ",1994,120.08
"KAZ",1995,103.01
"KAZ",1996,111.85
"KAZ",1997,107.57
"KAZ",1998,254.77
"KAZ",1999,294.55
"KAZ",2000,325.95
"KAZ",2001,372.35
"KAZ",2002,419.78
"KAZ",2003,459.01
"KAZ",2004,540.11
"KAZ",2005,619.46
"KAZ",2006,709.81
"KAZ",2007,847.49
"KAZ",2008,870.1
"KAZ",2009,894.63
"KAZ",2010,975.89
"KAZ",2011,1076.74
"KAZ",2012,1175.12
"KAZ",2013,1213
"KAZ",2014,1279.24
"KAZ",2015,1250.18
"KAZ",2016,1255.23
"KEN",1990,669.79
"KEN",1991,635.3
"KEN",1994,361.92
"KEN",1995,446.75
"KEN",1997,419.7
"KGZ",1995,99.09
"KGZ",1996,103.06
"KGZ",1997,118.4
"KGZ",1998,134.52
"KGZ",1999,125.29
"KGZ",2000,127.52
"KGZ",2001,145.44
"KGZ",2002,167.45
"KGZ",2003,189.18
"KGZ",2004,218.12
"KGZ",2005,252.04
"KGZ",2006,308.58
"KGZ",2007,349.56
"KGZ",2008,394.89
"KGZ",2009,421.95
"KGZ",2013,571.36
"KGZ",2014,586.55
"KGZ",2015,608.82
"KGZ",2016,648.52
"KHM",2000,125.12
"KHM",2001,130.2
"KHM",2007,254.32
"KHM",2008,232.59
"KHM",2009,234.22
"KHM",2010,252.43
"KHM",2011,266.66
"KHM",2012,283.42
"KHM",2013,319.2
"KHM",2014,391.51
"KHM",2015,413.7
"KHM",2016,453.36
"KOR",1990,1239.16
"KOR",1991,1353.75
"KOR",1992,1478.29
"KOR",2009,3010.88
"KOR",2010,3068.82
"KOR",2011,3196.99
"KOR",2012,3276.11
"KOR",2013,3191.95
"KOR",2014,3252.26
"KOR",2015,3406.34
"KOR",2016,3486.47
"KOS",2009,821.78
"KOS",2010,926.75
"KOS",2012,1010.17
"KOS",2013,1015.73
"KOS",2014,1177.92
"KOS",2015,1281.59
"KOS",2016,1317.7
"KWT",2015,1839.82
"KWT",2016,1795.12
"LAO",2010,571.36
"LBR",2010,616.24
"LBR",2012,9378.35
"LBR",2014,11297.79
"LKA",2009,324.88
"LKA",2010,336.92
"LKA",2011,360.69
"LKA",2013,409.9
"LKA",2014,436.55
"LKA",2015,489.41
"LKA",2016,535.01
"LTU",2010,1101.53
"LTU",2014,1412.32
"LUX",2009,4272.68
"LUX",2010,4313.07
"LUX",2011,4426.42
"LUX",2012,4466.02
