"year","iso3c","PrEdu","SecEdu","TerEdu"
1990,"CZE",29.32,33.27,5.94
1995,"CZE",12.19,50.88,5.47
2000,"CZE",0.22,65.92,5.11
2005,"CZE",0.7,69.75,5.38
2010,"CZE",0.68,68.77,7.59
2015,"CZE",0.8,70.7,8.1
1980,"DEU",49.76,11.1,3.28
1985,"DEU",48.01,13.94,3.67
1990,"DEU",33.62,23.04,7.56
1995,"DEU",25.63,30.16,9.32
2000,"DEU",20.13,35.49,10.48
2005,"DEU",4.15,51.16,10.89
2010,"DEU",2.92,54.75,13.14
2015,"DEU",1,47,14.5
1980,"DNK",27.47,21.22,7.46
1985,"DNK",24.66,22.97,9.33
1990,"DNK",21.56,29.21,8.48
1995,"DNK",17.31,33.44,10.37
2000,"DNK",9.56,38.34,12.31
2005,"DNK",6.93,38.29,14.53
2010,"DNK",4.64,38.88,14.98
2015,"DNK",0.1,41.4,15.2
1980,"DOM",9.81,5.61,0.99
1985,"DOM",10.19,6.86,1.3
1990,"DOM",12.77,8.19,1.99
1995,"DOM",13.94,9.42,2.41
2000,"DOM",13.91,10.78,2.94
2005,"DOM",14.13,13.26,3.48
2010,"DOM",11.55,21.88,2.89
2015,"DOM",10.7,28.3,3
1980,"DZA",4.59,7.56,0.77
1985,"DZA",13.02,11.31,1.34
1990,"DZA",14.74,14.35,1.97
1995,"DZA",19.34,16.37,2.53
2000,"DZA",24.04,15.41,3.4
2005,"DZA",27.2,14,3.78
2010,"DZA",25.88,17.08,6.66
2015,"DZA",27.4,20,8.7
1980,"ECU",34.64,11.89,3.55
1985,"ECU",27.99,14.08,4.56
1990,"ECU",25.75,16.2,5.83
1995,"ECU",25.26,16.53,6.23
2000,"ECU",25.99,16.3,6.98
2005,"ECU",31.07,18.64,6.16
2010,"ECU",36.56,25.34,5.19
2015,"ECU",35,35.3,5.1
1980,"EGY",6.81,6.15,1.86
1985,"EGY",8.51,10.62,1.99
1990,"EGY",8.2,14.48,1.87
1995,"EGY",7.8,18.07,2.18
2000,"EGY",7.47,20.42,4.19
2005,"EGY",6.01,23.95,5.29
2010,"EGY",5.71,26.38,6.65
2015,"EGY",6.4,29.9,7.8
1980,"ESP",27.21,11.25,4.59
1985,"ESP",24.89,10.05,4.57
1990,"ESP",22.53,11.34,4.23
1995,"ESP",19.66,12.82,8.01
2000,"ESP",17.62,15.91,10.69
2005,"ESP",20.98,19.81,13.53
2010,"ESP",20,20.27,14.96
2015,"ESP",12.1,27.1,15.5
1980,"EST",46.1,20.45,6.17
1985,"EST",41.81,24.78,7.09
1990,"EST",36.83,29.38,7.13
1995,"EST",22.74,36.09,11.41
2000,"EST",11.02,42.43,15
2005,"EST",7.23,44.48,16.58
2010,"EST",5.03,46.53,18.87
2015,"EST",2.6,51.1,18.9
1980,"FIN",38.38,24.36,6.37
1985,"FIN",39.36,17.85,5.66
1990,"FIN",40.59,17.11,5.67
1995,"FIN",34.44,17.89,9.49
2000,"FIN",31.3,19.39,10.88
2005,"FIN",27.75,19.84,11.7
2010,"FIN",25.11,21.65,11.88
2015,"FIN",18.8,36.1,11.5
1980,"FJI",23.62,13.32,1.77
1985,"FJI",21.6,17.72,2.15
1990,"FJI",17.04,28.48,3.65
1995,"FJI",7.65,40.13,4.82
2000,"FJI",14,35.53,5.75
2005,"FJI",19.2,29.9,6.37
2010,"FJI",16.61,36.33,7.03
2015,"FJI",12.5,47.7,7.6
1980,"FRA",27.81,9.2,3.74
1985,"FRA",26.75,16.71,4.86
1990,"FRA",23.79,21.63,5.81
1995,"FRA",21.63,28.33,7.2
2000,"FRA",18.19,33.83,8.44
2005,"FRA",17.5,35.91,8.71
2010,"FRA",15.32,38.22,10.6
2015,"FRA",5.3,43.8,12.3
1980,"GAB",11.85,5.63,2.39
1985,"GAB",13.89,8.1,3.5
1990,"GAB",16.34,10.65,4.1
1995,"GAB",19.18,13.47,5.06
2000,"GAB",21.24,15.98,5.54
2005,"GAB",21.18,19.47,5.73
2010,"GAB",18.5,23.18,6.3
2015,"GAB",17.6,29.3,7.2
1980,"GBR",32.98,7.08,5.5
1985,"GBR",30.3,7.2,6.22
1990,"GBR",27.97,7.07,9
1995,"GBR",26.24,7.29,11.1
2000,"GBR",22.44,9.52,12.83
2005,"GBR",18.17,31.24,13.77
2010,"GBR",11.79,47.31,15.31
2015,"GBR",8.6,52,15.1
1980,"GHA",4.94,8.12,0.57
1985,"GHA",5.84,9.76,0.88
1990,"GHA",6.7,11.13,1.14
1995,"GHA",8.4,12.68,1.39
2000,"GHA",9.21,15.12,1.84
2005,"GHA",7.9,17.24,1.65
2010,"GHA",7.59,18.5,1.44
2015,"GHA",8,27.3,1.9
1980,"GMB",1.32,1.64,0.27
1985,"GMB",1.84,2.01,0.5
1990,"GMB",4.3,2.33,0.77
1995,"GMB",4.77,3.32,1.01
2000,"GMB",3.63,3.49,1.02
2005,"GMB",4.45,4.12,0.94
2010,"GMB",4.1,4.63,0.91
2015,"GMB",2.8,4.4,0.7
1980,"GRC",43.67,16.27,5.87
1985,"GRC",40.85,24.8,8.74
1990,"GRC",34.57,33.65,11.33
1995,"GRC",31.19,29.37,12.76
2000,"GRC",27.56,31.42,12.22
2005,"GRC",30.26,28.75,19.3
2010,"GRC",27.65,29.05,22.5
2015,"GRC",16.7,38.7,27.8
1980,"GTM",10.91,5.39,1.41
1985,"GTM",13.69,5.94,1.37
1990,"GTM",14.82,7.36,1.53
1995,"GTM",15.65,8.49,1.69
2000,"GTM",16.1,10.9,1.74
2005,"GTM",18.25,7.88,1.54
2010,"GTM",21.52,10.23,0
2015,"GTM",24,17.6,0.2
1980,"GUY",38.99,10.88,0.77
1985,"GUY",35.69,13.7,0.78
1990,"GUY",33.4,16.53,0.66
1995,"GUY",28.49,21.59,0.47
2000,"GUY",24.8,25.86,0.06
2005,"GUY",22.24,29.44,0.15
2010,"GUY",20.25,33.01,0.24
2015,"GUY",15.4,38.3,0.6
1980,"HKG",22.5,24.35,3.33
1985,"HKG",20.93,28.68,4.11
1990,"HKG",18.88,30.31,7.32
1995,"HKG",17.04,29.98,9.26
2000,"HKG",15.25,30.06,10.28
2005,"HKG",15.57,32.6,19.38
2010,"HKG",14.82,43.74,15.22
2015,"HKG",8.8,51.9,18.7
1980,"HND",15.76,6.96,1.08
1985,"HND",19.37,9.82,1.55
1990,"HND",23.38,10.23,1.75
1995,"HND",24.99,11.3,1.97
2000,"HND",27.92,12.26,2.39
2005,"HND",27.83,14.98,2.46
2010,"HND",25.45,16.13,1.93
2015,"HND",26,22,2.3
1980,"HRV",44.64,15.92,2.92
1985,"HRV",42.54,19.1,3.42
1990,"HRV",39.91,23.15,3.3
1995,"HRV",32.27,28.63,4.53
2000,"HRV",24.74,35.63,6.29
2005,"HRV",15.7,43.48,8.73
2010,"HRV",7.31,49.85,11.04
2015,"HRV",1.7,57.9,13.1
1980,"HTI",2.93,5.72,0.45
1985,"HTI",4.84,8.18,0.4
1990,"HTI",4.8,10.99,0.47
1995,"HTI",4.82,14.04,0.51
2000,"HTI",4.57,17.4,0.55
2005,"HTI",4.72,21,0.6
2010,"HTI",5.04,23.1,0.67
2015,"HTI",5.2,22.1,0.8
1980,"HUN",53.51,13.15,6.5
1985,"HUN",45.71,17.03,7.27
1990,"HUN",35.64,17.98,7.48
1995,"HUN",22.07,32.96,8.52
2000,"HUN",9.78,44.03,9.36
2005,"HUN",5.16,50.31,12.57
2010,"HUN",1.75,52.92,15.38
2015,"HUN",0.9,57.5,17
1980,"IDN",20.62,5.15,0.25
1985,"IDN",19.1,7.71,0.81
1990,"IDN",16.58,10.9,0.98
1995,"IDN",26.07,9.79,1.15
2000,"IDN",35.17,9.72,1.21
2005,"IDN",33.96,15.04,2.67
2010,"IDN",29.31,22.09,3.73
2015,"IDN",26.7,28.8,4.1
1980,"IND",7.44,0.5,1.22
1985,"IND",11.1,0.57,1.74
1990,"IND",13.73,0.55,2.23
1995,"IND",14.46,6.93,3.36
2000,"IND",13.51,19.83,4.01
2005,"IND",15.22,21.8,4.38
2010,"IND",15.19,25.03,4.85
