"iso3c","year","corr","burreau","demAcc","lawOrder"
"BEL",1995,"4.41666666666667","4","5.5","6"
"BEL",1996,"4.83333333333333","4","6","5.66666666666667"
"BEL",1997,"3.16666666666667","4","5.58333333333333","5.16666666666667"
"BEL",1998,"3","4","5","5"
"BEL",1999,"3","4","5","5"
"BEL",2000,"3.25","4","5","5"
"BEL",2001,"4","4","5","5"
"BEL",2002,"4","4","6","5"
"BEL",2003,"4","4","6","5"
"BEL",2004,"4","4","6","5"
"BEL",2005,"4","4","6","5"
"BEL",2006,"3.70833333333333","4","6","5"
"BEL",2007,"3.50","4.00","6.00","5.00"
"BEL",2008,"3.5","4","6","5"
"BEL",2009,"5","4","6","5"
"BEL",2010,"5","4","6","5"
"BEL",2011,"5","4","6","5"
"BEL",2012,"5","4","6","5"
"BEL",2013,"5","4","6","5"
"BEL",2014,"4.95833333333333","4","6","5"
"BEL",2015,"4.5","4","6","5"
"BEL",2016,"4.5","4","6","5"
"BEL",2017,"4.5","4","6","5"
"BFA",1984,NA,NA,NA,NA
"BFA",1985,"4","2","1","3"
"BFA",1986,"4","2","1","3"
"BFA",1987,"4","2","1","3"
"BFA",1988,"4","2","1","3"
"BFA",1989,"4","2","1","3"
"BFA",1990,"4","1.5","1","3"
"BFA",1991,"4","1","1.25","2.58333333333333"
"BFA",1992,"3","1","2","3"
"BFA",1993,"3","1","2","3.33333333333333"
"BFA",1994,"3","1","2","4"
"BFA",1995,"3","1","2","4"
"BFA",1996,"3","1","2.58333333333333","4"
"BFA",1997,"2.5","1","2.5","4"
"BFA",1998,"2","1","2.16666666666667","4"
"BFA",1999,"2","1","4","4"
"BFA",2000,"2","1","4","4"
"BFA",2001,"2","1","4","4"
"BFA",2002,"2","1","4.29166666666667","3.58333333333333"
"BFA",2003,"2","1","4.41666666666667","3.5"
"BFA",2004,"2","1","3.5","3.5"
"BFA",2005,"2","1","3.25","3.5"
"BFA",2006,"2","1","3","3.5"
"BFA",2007,"2.00","1.00","3.00","3.50"
"BFA",2008,"2","1","3","3.5"
"BFA",2009,"2","1","3","3.5"
"BFA",2010,"2","1","3","3.5"
"BFA",2011,"2","1","2.75","3.16666666666667"
"BFA",2012,"2","1","2.70833333333333","3"
"BFA",2013,"2","1","3","3"
"BFA",2014,"2.04166666666667","1","3","3"
"BFA",2015,"2.5","1","3.16666666666667","3"
"BFA",2016,"2.5","1","5","3.16666666666667"
"BFA",2017,"2.5","1","5","3.5"
"BGD",1984,"0","0","2.41666666666667","1"
"BGD",1985,"0","0","4","1"
"BGD",1986,"0","0","3.33333333333333","1"
"BGD",1987,"0","0","3","1"
"BGD",1988,"0","0","3","1"
"BGD",1989,"0","0","2.41666666666667","1"
"BGD",1990,"0.0833333333333333","0","2","1"
"BGD",1991,"1","0","2","1"
"BGD",1992,"1.33333333333333","0","2","1"
"BGD",1993,"2","1","2.91666666666667","2.08333333333333"
"BGD",1994,"2","1","3","3"
"BGD",1995,"2","1","3","3"
"BGD",1996,"2","1","4.41666666666667","3"
"BGD",1997,"2","1.41666666666667","5","3"
"BGD",1998,"2","2","5","3.25"
"BGD",1999,"2","2","5","3"
"BGD",2000,"2","2","5","2.08333333333333"
"BGD",2001,"1.83333333333333","2","4","2"
"BGD",2002,"1","2","3.66666666666667","1.5"
"BGD",2003,"1","2","2.5","1.16666666666667"
"BGD",2004,"1.04166666666667","2","2.75","1.04166666666667"
"BGD",2005,"1.5","2","3","2"
"BGD",2006,"1.5","2","3","2.5"
"BGD",2007,"2.04","2.00","3.00","2.63"
"BGD",2008,"2.5","2","3","2.5"
"BGD",2009,"2.79166666666667","2","3.5","2.5"
"BGD",2010,"3","2","3.5","2.33333333333333"
"BGD",2011,"3","2","3.5","2"
"BGD",2012,"3","2","3.5","2"
"BGD",2013,"3","2","3.5","2"
"BGD",2014,"3","2","3.5","2"
"BGD",2015,"3","2","3.5","2"
"BGD",2016,"3","2","3.5","2"
"BGD",2017,"2.66666666666667","2","3.75","2.08333333333333"
"BGR",1984,"4","2","5","5"
"BGR",1985,"4","2","5","5"
"BGR",1986,"4","2","5","5"
"BGR",1987,"4","2","5","5"
"BGR",1988,"3.91666666666667","2","5","5"
"BGR",1989,"3","2","4.91666666666667","5"
"BGR",1990,"3","2","3.33333333333333","5"
"BGR",1991,"3.08333333333333","2","3.08333333333333","5"
"BGR",1992,"4.66666666666667","2","4","5"
"BGR",1993,"5","2","4","5"
"BGR",1994,"4.25","2","4","5"
"BGR",1995,"4","2","4.16666666666667","5"
"BGR",1996,"4","2","5.58333333333333","5.41666666666667"
"BGR",1997,"4","2","5.83333333333333","4"
"BGR",1998,"4","2","5","4"
"BGR",1999,"4","2","5","4"
"BGR",2000,"3.25","2","5","4"
"BGR",2001,"2","2","5","4"
"BGR",2002,"2","2","5","4"
"BGR",2003,"2","2","5","4"
"BGR",2004,"2","2","5","4"
"BGR",2005,"2","2","5.25","4"
"BGR",2006,"2","2","5.5","3.625"
"BGR",2007,"2.00","2.00","5.50","2.50"
"BGR",2008,"2","2","5.5","2.5"
"BGR",2009,"2","2","5.5","2.5"
"BGR",2010,"2","2","5.5","2.5"
"BGR",2011,"2","2","5.5","2.5"
"BGR",2012,"2","2","5.5","2.5"
"BGR",2013,"2","2","5.5","2.5"
"BGR",2014,"2.04166666666667","2","5.5","2.5"
"BGR",2015,"2.5","2","5.5","2.66666666666667"
"BGR",2016,"2.75","2","5.5","3"
"BGR",2017,"3","2","5.5","3"
"BHR",1984,"3","3","2","4"
"BHR",1985,"3","3","2","4"
"BHR",1986,"3","3","2","4"
"BHR",1987,"3","3","2","4"
"BHR",1988,"3","3","2","4"
"BHR",1989,"3","3","2","4"
"BHR",1990,"3","3","2","4"
"BHR",1991,"3.83333333333333","3","2","4"
"BHR",1992,"4","3","2","5"
