"iso3c","year","globFin","globRestrict","globSoc","globPol"
"ARG",2005,69.69277191,40.73858643,59.96886826,92.07930756
"ARG",2006,67.2558136,42.08865738,61.70002365,92.10463715
"ARG",2007,62.96354294,41.68235779,63.46616745,93.18254852
"ARG",2008,53.43003845,42.64434052,65.87268066,92.62992096
"ARG",2009,56.32673645,39.59764862,66.37624359,92.81613922
"ARG",2010,52.55245209,39.24861145,64.96897888,93.47105408
"ARG",2011,47.40311813,35.32393265,66.03272247,93.28443146
"ARG",2012,45.24263763,24.51376915,65.52217102,93.46144867
"ARG",2013,45.02795029,25.10492134,66.86032104,93.51596832
"ARG",2014,46.5965271,24.820261,68.30173492,93.13963318
"ARG",2015,45.28430557,24.59452629,68.71536255,93.09526825
"ARM",1980,NA,NA,NA,NA
"ARM",1981,NA,NA,NA,NA
"ARM",1982,NA,NA,NA,NA
"ARM",1983,NA,NA,NA,NA
"ARM",1984,NA,NA,NA,NA
"ARM",1985,NA,NA,NA,NA
"ARM",1986,NA,NA,NA,NA
"ARM",1987,NA,NA,NA,NA
"ARM",1988,NA,NA,NA,NA
"ARM",1989,NA,NA,NA,NA
"ARM",1990,NA,NA,NA,NA
"ARM",1991,14.69935608,68.36447906,33.15636063,17.63940048
"ARM",1992,14.89023304,68.37019348,35.827034,19.71405983
"ARM",1993,16.14797211,68.31102753,35.80020905,22.16400146
"ARM",1994,17.65546799,68.2250824,37.27943039,28.07090187
"ARM",1995,35.58068848,68.14189148,41.48611832,30.17374802
"ARM",1996,43.5112648,68.0835495,42.72237396,32.23219681
"ARM",1997,56.42589951,69.9597702,43.08444214,34.1346283
"ARM",1998,56.96669769,67.49581146,38.75549698,34.86735916
"ARM",1999,60.91238785,67.84597778,41.39866257,36.82811356
"ARM",2000,63.87469101,68.17403412,46.31298447,37.19247055
"ARM",2001,60.26573563,68.1293869,45.93766403,38.99623871
"ARM",2002,64.06755066,68.05377197,44.48698807,39.99746704
"ARM",2003,62.83888245,68.16434479,45.21134186,43.20263672
"ARM",2004,68.43989563,68.43151093,47.03440094,43.57730103
"ARM",2005,64.51520538,70.38251495,48.59942245,46.43817902
"ARM",2006,62.09263611,72.71990967,50.32774734,50.3916626
"ARM",2007,61.05810928,71.34751129,52.2057457,53.84336853
"ARM",2008,60.83237839,72.13809204,52.97800827,54.24984741
"ARM",2009,71.57771301,73.27150726,54.39772415,54.82452011
"ARM",2010,74.38197327,72.59101105,55.64229965,54.64574814
"ARM",2011,75.00588989,71.20661163,57.12348938,55.41654587
"ARM",2012,74.72348785,69.91142273,56.26400757,67.20166016
"ARM",2013,74.35443878,69.90825653,60.43112564,67.03739929
"ARM",2014,72.68920135,74.4850235,60.80562973,66.81282043
"ARM",2015,72.90154266,69.08670044,63.45699692,70.46170044
"ASM",1980,NA,NA,NA,NA
"ASM",1981,NA,NA,NA,NA
"ASM",1982,NA,NA,NA,NA
"ASM",1983,NA,NA,NA,NA
"ASM",1984,NA,NA,NA,NA
"ASM",1985,NA,NA,NA,NA
"ASM",1986,NA,NA,NA,NA
"ASM",1987,NA,NA,NA,NA
"ASM",1988,NA,NA,NA,NA
"ASM",1989,NA,NA,NA,NA
"ASM",1990,NA,NA,NA,NA
"ASM",1991,NA,NA,NA,NA
"ASM",1992,NA,NA,NA,NA
"ASM",1993,NA,NA,NA,NA
"ASM",1994,NA,NA,NA,NA
"ASM",1995,NA,NA,NA,NA
"ASM",1996,NA,NA,NA,NA
"ASM",1997,NA,NA,NA,NA
"ASM",1998,NA,NA,NA,NA
"ASM",1999,NA,NA,NA,NA
