"iso3c","year","CLandPR"
"BLZ","2013",1.5
"BLZ","2014",1.5
"BLZ","2015",1.5
"BLZ","2016",1.5
"BLZ","2017",1.5
"BEN","1980",6.5
"BEN","1981",6.5
"BEN","1982",6.5
"BEN","1983",6.5
"BEN","1984",7
"BEN","1985",7
"BEN","1986",7
"BEN","1987",7
"BEN","1988",7
"BEN","1989",7
"BEN","1990",5
"BEN","1991",2.5
"BEN","1992",2.5
"BEN","1993",2.5
"BEN","1994",2.5
"BEN","1995",2
"BEN","1996",2
"BEN","1997",2
"BEN","1998",2
"BEN","1999",2.5
"BEN","2000",2
"BEN","2001",2.5
"BEN","2002",2.5
"BEN","2003",2
"BEN","2004",2
"BEN","2005",2
"BEN","2006",2
"BEN","2007",2
"BEN","2008",2
"BEN","2009",2
"BEN","2010",2
"BEN","2011",2
"BEN","2012",2
"BEN","2013",2
"BEN","2014",2
"BEN","2015",2
"BEN","2016",2
"BEN","2017",2
"BTN","1980",5
"BTN","1981",5
"BTN","1982",5
"BTN","1983",5
"BTN","1984",5
"BTN","1985",5
"BTN","1986",5
"BTN","1987",5
"BTN","1988",5
"BTN","1989",5.5
"BTN","1990",5.5
"BTN","1991",5.5
"BTN","1992",6.5
"BTN","1993",7
"BTN","1994",7
"BTN","1995",7
"BTN","1996",7
"BTN","1997",7
"BTN","1998",6.5
"BTN","1999",6.5
"BTN","2000",6.5
"BTN","2001",6.5
"BTN","2002",5.5
"BTN","2003",5.5
"BTN","2004",5.5
"BTN","2005",5.5
"BTN","2006",5.5
"BTN","2007",5.5
"BTN","2008",4.5
"BTN","2009",4.5
"BTN","2010",4.5
"BTN","2011",4.5
"BTN","2012",4.5
"BTN","2013",3.5
"BTN","2014",3.5
"BTN","2015",3.5
"BTN","2016",3.5
"BTN","2017",3.5
"BOL","1980",6
"BOL","1981",5.5
"BOL","1982",5.5
"BOL","1983",2.5
"BOL","1984",2.5
"BOL","1985",2.5
"BOL","1986",2.5
"BOL","1987",2.5
"BOL","1988",2.5
"BOL","1989",2.5
"BOL","1990",2.5
"BOL","1991",2.5
"BOL","1992",2.5
"BOL","1993",2.5
"BOL","1994",2.5
"BOL","1995",3
"BOL","1996",2.5
"BOL","1997",2
"BOL","1998",2
"BOL","1999",2
"BOL","2000",2
"BOL","2001",2
"BOL","2002",2.5
"BOL","2003",3
"BOL","2004",3
"BOL","2005",3
"BOL","2006",3
"BOL","2007",3
"BOL","2008",3
"BOL","2009",3
"BOL","2010",3
"BOL","2011",3
"BOL","2012",3
"BOL","2013",3
"BOL","2014",3
"BOL","2015",3
"BOL","2016",3
"BOL","2017",3
"BIH","1992",6
"BIH","1993",6
"BIH","1994",6
"BIH","1995",6
"BIH","1996",5
"BIH","1997",5
"BIH","1998",5
"BIH","1999",5
"BIH","2000",4.5
"BIH","2001",4.5
"BIH","2002",4
"BIH","2003",4
"BIH","2004",3.5
"BIH","2005",3.5
"BIH","2006",3
"BIH","2007",3.5
"BIH","2008",3.5
"BIH","2009",3.5
"BIH","2010",3.5
"BIH","2011",3.5
"BIH","2012",3
"BIH","2013",3
"BIH","2014",3.5
"BIH","2015",3.5
"BIH","2016",4
"BIH","2017",4
"BWA","1980",2.5
"BWA","1981",2.5
"BWA","1982",2.5
"BWA","1983",2.5
"BWA","1984",2.5
"BWA","1985",2.5
"BWA","1986",2.5
"BWA","1987",2.5
"BWA","1988",2.5
"BWA","1989",1.5
"BWA","1990",1.5
"BWA","1991",1.5
"BWA","1992",1.5
"BWA","1993",2.5
"BWA","1994",2.5
"BWA","1995",2
"BWA","1996",2
"BWA","1997",2
"BWA","1998",2
"BWA","1999",2
"BWA","2000",2
"BWA","2001",2
"BWA","2002",2
"BWA","2003",2
"BWA","2004",2
"BWA","2005",2
"BWA","2006",2
"BWA","2007",2
"BWA","2008",2
"BWA","2009",2.5
"BWA","2010",2.5
"BWA","2011",2.5
"BWA","2012",2.5
"BWA","2013",2.5
"BWA","2014",2.5
"BWA","2015",2.5
"BWA","2016",2.5
"BWA","2017",2.5
"BRA","1980",3.5
"BRA","1981",3.5
"BRA","1982",3.5
"BRA","1983",3
"BRA","1984",3
"BRA","1985",2.5
"BRA","1986",2
"BRA","1987",2
"BRA","1988",2.5
"BRA","1989",2
"BRA","1990",2.5
"BRA","1991",2.5
"BRA","1992",2.5
"BRA","1993",3.5
"BRA","1994",3
"BRA","1995",3
"BRA","1996",3
"BRA","1997",3.5
"BRA","1998",3.5
"BRA","1999",3.5
"BRA","2000",3
"BRA","2001",3
"BRA","2002",2.5
"BRA","2003",2.5
"BRA","2004",2.5
"BRA","2005",2
"BRA","2006",2
"BRA","2007",2
"BRA","2008",2
"BRA","2009",2
"BRA","2010",2
"BRA","2011",2
