"iso3c","year","Top10share","Top1share","country","NatRes","GovExp","GDSavings","PopGrowth","PopTot","Infl","EducExp","VAI","VAA","NetFDIin","RuleofLaw","GDPpc","GDPgrowth","TradeOpen","LifeExp","Unemployment","WarYears","RevCoups","EquipI","NonequipI","kaopen","FID","FIA","FIE","FMD","EFW","EducIndex","CLandPR","LeftWing","GiniNet","RedistAbs","globFin","globRestrict","globSoc","globPol","GDPpc#GDPpc","Infl#Infl","EducIndex#EducIndex"
"LSO",2010,0.576033712,0.1894966779,"Lesotho",3.72301763252752,37.3706746198635,-28.5205379635138,0.273477029785285,14.5064457939776,3.5982615243311,9.73,30.0775901414879,5.09470561387494,0.397030716708685,-0.2773108,7.7949258990186,6.42963960957444,140.082653468736,45.1,27.1940002441406,0,0,0.0347625187134789,0.199143109286521,-1.21001923084259,0.2744831,0.0741702,0.5532303,0.0052883,6.311226706,0.492,3,1,52.0762728921819,9.55323402047323,84.64460754,30.31062126,50.4594841,60.25359344,60.760869771191,12.9474859974816,0.242064
"LTU",2000,0.29499999,0.061000001,"Lithuania",0.958419670996415,22.4049323406225,12.5758176517194,-0.703385440488978,15.0681409462427,0.981661536457063,5.70373286666666,26.3026120279007,5.57906457922664,3.29548081034089,0.2920864,9.40875308934806,3.83166729800301,83.2742947401989,72.0195121951219,15.9309997558594,0,0,0.0234296835889547,0.100513623411045,2.34670782089233,0.0630256,0.255624,0.485085,0.0733767,6.867831423,0.762,1.5,0,32.1971775196431,17.3622956213667,48.21359634,71.53058624,65.14573669,63.91439438,88.5246346963167,0.963659372159242,0.580644
"LTU",2002,0.30039999,0.063100003,"Lithuania",0.790435031635905,20.5623310150454,14.9572879971651,-0.802765710748508,15.0518732019048,0.281472958210649,5.7,26.24843616045,4.76892208854172,4.62791681697207,0.4527944,9.55364516178173,6.76074951965822,100.359881587934,71.7609756097561,13.0080003738403,0,0,0.0332559091745117,0.115368942825488,2.34670782089233,0.0900664,0.3319017,0.5523108,0.0628452,7.408727732,0.801,1.5,0,32.6271690226649,17.5782762290097,48.21929169,78.82704163,66.82249451,65.64749146,91.2721358772355,0.0792270262038538,0.641601
"LTU",2003,0.30360001,0.063900001,"Lithuania",0.693253477250761,19.5525346050506,16.0145938882446,-0.812278097406687,15.0437504209307,-1.13431153853021,5.00301681080666,27.8267835327201,4.41794933426611,1.15621832066264,0.5413424,9.66196222094865,10.5385649542543,98.1259502026114,72.0609756097561,12.875,0,0,0.0349773047914231,0.126104590208577,2.34670782089233,0.1054993,0.3838717,0.5996915,0.0790323,7.431909475,0.821,1.5,0,32.8534101271971,17.6962001258807,51.50616455,78.28744507,67.78473663,68.51241302,93.3535139590389,1.28666266644277,0.674041
"LTU",2004,0.301,0.0594,"Lithuania",0.638610600511162,19.1662801829533,15.6442403907185,-1.12299127483243,15.0325205081824,1.16413152293511,4.97383478875245,29.5560074845084,4.16876357944246,3.51495008140278,0.6070058,9.73663708580018,6.55008306073013,101.730610125854,71.9609756097561,10.6840000152588,0,0,0.0433331164065778,0.137079369593422,2.34670782089233,0.1205253,0.4402264,0.63592,0.1130775,7.314302237,0.829,2,0,33.2510245275463,17.8099823760441,56.962883,79.00504303,69.2739563,73.23197937,94.8021017405794,1.35520220269122,0.687241
"LTU",2005,0.31479999,0.065399997,"Lithuania",0.569458072111667,18.5046626090732,16.8212219865581,-1.62840112593427,15.016236496923,2.65847109572964,4.60121099529544,29.6083216971358,4.32389888931717,3.2377390953898,0.6287229,9.82735494662491,7.72740790166723,114.916938939763,71.2536585365854,8.32499980926514,0,0,0.0490597646701605,0.146411403329839,2.34670782089233,0.1517365,0.4696096,0.6911087,0.1272556,7.443515492,0.848,1,0,33.3234776947754,18.0119409353842,60.20568848,75.94799042,72.99313354,73.42454529,96.5769052469531,7.06746856682995,0.719104
"LTU",2006,0.30160001,0.065200001,"Lithuania",0.540883592074886,19.1265001799231,16.4616874967794,-1.59637831830094,15.00027271374,3.73913861823554,4.4487850400583,29.9976580596288,3.86009183768496,6.84097410910907,0.7163033,9.91476872607571,7.40644421277685,121.504193432115,71.0560975609756,5.78000020980835,0,0,0.0544590448606859,0.171859001139314,2.34670782089233,0.1886402,0.5147676,0.7206825,0.1562431,7.45825315,0.856,1,0,33.1513667382748,18.249768446127,67.08472443,74.70292664,74.08636475,74.64616394,98.302638891569,13.9811576063804,0.732736
"LTU",2007,0.30849999,0.075199999,"Lithuania",0.477005721845191,17.4473701735863,18.9844997335116,-1.187947957259,14.9883932341674,5.73716210778581,4.23119482517316,29.5872783478558,3.4718857304286,5.77145108894995,0.7266968,10.0317912861526,11.086954275977,113.841429303506,70.9,4.25,0,0,0.0610350372961795,0.22432380870382,2.34670782089233,0.2226578,0.5732352,0.7507471,0.115966,7.509962551,0.863,1,0,33.2474234016563,18.4476542610878,72.21559906,75.46382904,74.17878723,76.89464569,100.636836408927,32.9150290510133,0.744769
"LTU",2008,0.31310001,0.086099997,"Lithuania",0.437354553760853,18.6590150361318,16.3157507182713,-1.02848317546539,14.9781084024128,10.9258764682807,4.55025707003035,29.1891341552429,3.28025924513691,3.98645661762475,0.7224829,10.0680174915557,2.62807796119264,125.849417078669,71.8121951219512,5.82600021362305,0,0,0.0485881696633827,0.210459428336617,2.09040427207947,0.2124238,0.5997729,0.751927,0.0583646,7.303577361,0.871,1,0,33.6430252312403,18.3693399690778,67.76811981,72.49907684,74.45960999,77.99719238,101.364976210271,119.37477660013,0.758641
"LTU",2009,0.31549999,0.0889,"Lithuania",0.385360922990822,21.2358296577473,10.6909864129223,-1.11034575437238,14.9670049448691,4.45306006826803,5.26114021961825,25.0566396015151,2.53290939882076,0.0480243732272165,0.7280318,9.91878594887549,-14.8141631583267,105.558582059234,72.9146341463415,13.7849998474121,0,0,0.0220773484730686,0.0882278785269314,1.83410060405731,0.1706568,0.6143589,0.6154076,0.0848917,7.35329992,0.853,1,0,33.9673413105964,18.4108089187522,59.51870346,71.64008331,74.32667542,77.61325836,98.3823146996099,19.8297439716033,0.727609
"LTU",2010,0.32339999,0.0779,"Lithuania",0.547312255359977,19.9007253955648,16.0962890839691,-2.09694341985475,14.9460355106705,1.3191844445981,5.26114021961825,26.1896459968754,3.03228543560537,2.33714791941145,0.7823634,9.95446893040607,1.48223244137165,130.252143681798,73.2682926829268,17.8139991760254,0,0,0.0389245315539059,0.142521990446094,1.57779693603516,0.1217567,0.6216577,0.6436205,0.0895662,7.438715334,0.854,1,0,33.4518584685316,18.7964364793176,73.13785553,70.81510162,74.86157227,77.19676208,99.0914516864199,1.7402475988696,0.729316
"LTU",2011,0.3012,0.068099998,"Lithuania",0.566878447903405,18.3684856083471,19.2320705852295,-2.25846389882827,14.9234508716822,4.13030068838344,5.26114021961825,28.0416088632386,3.49951766887913,3.54219648098295,0.7749577,10.0355643170566,6.02563809108096,148.843784267841,73.5634146341464,15.3900003433228,0,0,0.0486756249763582,0.168761374023642,1.32149338722229,0.1123564,0.5763827,0.7320777,0.0702315,7.463673756,0.85,1,0,33.4947176940664,18.5635956333097,73.36807251,70.85134125,76.00348663,77.68267059,100.712551161779,17.0593837764607,0.7225
"LTU",2012,0.29969999,0.070900001,"Lithuania",0.522963196282003,17.4958608795299,20.3260398818739,-1.34120198821595,14.9100388518001,3.08998326935632,5.26114021961825,27.9773804234794,3.98883061879444,1.34412113221428,0.8504152,10.0865929061051,3.8333027642867,156.210213482176,73.8634146341464,13.3649997711182,0,0,0.0461769041581856,0.150086751841814,1.06518971920013,0.1128099,0.5833123,0.6905421,0.0691644,7.517208373,0.844,1,0,34.1290099113987,18.1752792320277,72.65024567,68.53368378,77.39019775,77.56305695,101.739356453489,9.54799660490197,0.712336
"LTU",2013,0.3211,0.078900002,"Lithuania",0.469544283389302,16.682463441136,20.9323868840186,-1.01200736818103,14.8999187781183,1.047466620793,5.26114021961825,27.3511558679813,3.55044918663433,1.52481001015896,0.8360037,10.1316787364319,3.55842463134766,156.129858512866,73.9146341463415,11.7700004577637,0,0,0.0459095566623526,0.151891780337647,1.06518971920013,0.1154345,0.5737731,0.6780288,0.0590891,7.707762779,0.848,1,0,34.5838874769903,17.800386698939,70.51335907,68.97325134,79.51097107,77.845047,102.650914018266,1.09718632167551,0.719104
"LTU",2014,0.32089999,0.080399998,"Lithuania",0.446772276998997,16.6303814852549,21.3731582504419,-0.859827343070249,14.8913205046876,0.103789914462827,5.26114021961825,27.4300040325341,3.42284589596894,1.04046792464456,0.9391773,10.1747554502049,3.50797121712733,142.864378289131,74.5170731707317,10.6979999542236,0,0,0.0444567256916297,0.14647805130837,1.06518971920013,0.1191156,0.5808967,0.6811249,0.0666958,7.943777189,0.88,1,0,35.0639586642651,17.8283800786161,63.28187561,72.44307709,81.91513824,78.52171326,103.525648471474,0.0107723463442009,0.7744
"LVA",2000,0.3195,0.092100002,"Latvia",2.59921057404463,20.9527516276679,16.5434293041556,-0.963935407092365,14.6773662231435,2.65425477796052,4.98613337933958,23.6814356775451,4.39135882883857,4.08645179793927,0.1973373,9.32514778650344,5.59519819700228,81.7895291811859,70.3146341463415,14.2110004425049,0,0,0.0339222160826909,0.140939751917309,2.09040427207947,0.1113406,0.3392441,0.5387881,0.0430282,7.490123242,0.707,1.5,0,32.8133499313378,12.9587666614546,48.75057602,72.80804443,65.94609833,52.36091995,86.9583812401299,7.04506842632625,0.499849
"LVA",2002,0.32589999,0.094700001,"Latvia",1.74180724535406,20.6849401190068,17.8044777104036,-1.1618382239436,14.6528329714686,1.93887573855892,4.84309384754796,22.6570147030561,4.43936881683756,1.6786972548011,0.3415674,9.47969730939345,7.11596707207414,83.4428048862976,70.9609756097561,13.8290004730225,0,0,0.0396923525145482,0.168927182485452,2.09040427207947,0.1315805,0.4527694,0.603937,0.0374926,7.71526069,0.769,1.5,0,33.8312397619842,12.5076517663823,55.67009735,77.52589417,68.10310364,53.69538879,89.8646610777214,3.7592391295724,0.591361
"LVA",2003,0.32929999,0.094800003,"Latvia",1.74958146697927,21.0240581659721,17.5871743176049,-0.966400801237561,14.6431689634562,2.94264752948481,4.64122925171082,21.3783597692348,3.88610058362218,2.69641291172676,0.5957193,9.57035480844609,8.43638384632277,84.901627499935,71.2658536585366,12.0609998703003,0,0,0.0517951260011302,0.18791974999887,2.34670782089233,0.1522957,0.5446804,0.6413862,0.0443985,7.591995231,0.795,1.5,0,34.3300451161569,12.4181423311027,62.38689041,78.26624298,67.24356842,54.91250992,91.5916911595472,8.65917448278305,0.632025
"LVA",2004,0.32769999,0.094499998,"Latvia",1.58559083329993,19.9364109860284,17.3719712639642,-1.09131295557421,14.6322558339005,6.19238547197433,4.54238917130701,21.5380530452178,4.12332661980032,4.1170581977988,0.5873426,9.66138472748724,8.34135916023317,93.8306150698804,72.0268292682927,11.7080001831055,0,0,0.058562123883326,0.220621145116674,2.34670782089233,0.1700042,0.5727435,0.6640563,0.0644994,7.641946627,0.822,1.5,0,34.8760919733343,12.0789604979003,72.21239471,81.44664764,69.57607269,58.08766937,93.3423548525237,38.3456378335187,0.675684
"LVA",2005,0.32210001,0.085699998,"Latvia",1.30760489212793,17.9038566901868,20.5297601856407,-1.08057145691172,14.6214501193314,6.74845027893117,4.38523724111666,20.3054669147921,3.65468345605651,4.79265055673891,0.6184816,9.77423590698061,10.7433819978121,100.911709383517,71.3560975609756,10.0329999923706,0,0,0.0779837416690938,0.224725778330906,2.34670782089233,0.2081441,0.5779437,0.7128076,0.077233,7.662925241,0.841,1,0,35.2878614183289,12.055528676217,74.44458771,79.64807129,72.4906311,59.79163361,95.535687565309,45.5415811672062,0.707281
"LVA",2006,0.32949999,0.084799998,"Latvia",1.16764250723496,17.2499844094736,18.3745264487285,-0.91727295748817,14.6122773897565,6.53619908765875,4.22808531092637,20.8641901929563,3.14617993491643,7.95350893870434,0.669318,9.89573768568736,11.8880966890021,100.666502317753,70.8658536585366,7.03000020980835,0,0,0.0801009718850596,0.26528317911494,2.34670782089233,0.2517688,0.6149859,0.715046,0.1071572,7.817239892,0.845,1,0,35.3893438800742,11.9499271374778,79.48145294,77.05156708,74.01316071,63.36587906,97.925624343933,42.7218985135111,0.714025
"LVA",2007,0.30000001,0.071599998,"Latvia",0.957711880889336,17.6230971591509,22.4259494914322,-0.816175506582982,14.6041156346907,10.0929775849168,4.06077481238223,21.6725291212551,3.1811618434996,8.78290408036769,0.7592566,9.9993082652678,10.010851453342,95.9336265490262,71.019512195122,6.05200004577637,0,0,0.100182821376749,0.267951826623251,2.34670782089233,0.2721984,0.7110565,0.7111079,0.1136368,7.780948738,0.85,1.5,0,35.5567999545543,12.0509329148765,80.81638336,80.9650116,73.98205566,64.34348297,99.9861657838529,101.868196529633,0.7225
