"iso3c","country","period","Top10share","Top1share","NatRes","GovExp","GDSavings","PopGrowth","PopTot","Infl","EducExp","VAI","VAA","NetFDIin","RuleofLaw","GDPpc","GDPgrowth","TradeOpen","LifeExp","Unemployment","WarYears","RevCoups","EquipI","NonequipI","kaopen","FID","FIA","FIE","FMD","EFW","EducIndex","CLandPR","LeftWing","GiniNet","RedistAbs","globFin","globRestrict","globSoc","globPol","Age","GDPpc#GDPpc","Infl#Infl","EducIndex#EducIndex"
"FRA","France",1,0.332280002,0.11254,0.054756176713244,22.6753998629462,23.2748531765841,0.717007982711144,17.9394423903411,1.89494296156951,4.97907421693664,20.606219457925,1.97781596550094,2.82137848612312,1.3776455,10.4714989756546,2.13916716008215,53.3230959941225,79.3507317073171,8.94979972839356,0,0,0.032945305087702,0.179326409112298,2.34670782089233,0.6984856,0.63558648,0.67857878,0.81312254,7.439520152,0.767,1.2,0.6,27.9543491866493,19.4746705404453,80.250982666,87.91177368,80.063360594,97.68427887,37.7,109.652441497603,3.63459964225494,0.5883138
"FRA","France",2,0.332660002,0.1123,0.0498157401084354,22.980545262271,22.5012741661923,0.62860981424601,17.974042317755,1.5618948693472,4.932,19.0298204551063,1.52999405935419,2.68994426884843,1.4650854,10.5180029603001,0.783782386534968,54.8728843089839,80.9434146341463,8.07940006256104,0,0,0.0392268479616077,0.219989585838392,2.34670782089233,0.7204693,0.91955284,0.68755166,0.90906696,7.4996829742,0.8012,1,0,28.5172101063251,19.4150994879405,89.258050536,84.866241456,82.249018858,99.232214358,38.9,110.628628029436,3.19762196624219,0.6419384
"FRA","France",3,0.32664,0.10862,0.0517878276952189,23.9843729938854,21.2151314101824,0.491253956570127,18.0001129322206,1.39367805857881,4.98634919129984,17.8820386831931,1.58021977111688,1.11432131709671,1.4644606,10.5272963953107,1.19755655081979,58.7206556535228,82.1273170731707,9.45899982452392,0,0,0.039164438846133,0.216780179953867,2.34670782089233,0.73975598,0.93237324,0.7028102,0.80807284,7.3949274528,0.8188,1,0.4,29.8349939090203,19.2857368986025,88.00739746,83.196308898,84.555900572,99.38367157,40.1,110.824019295966,2.32517709246039,0.6705012
"GAB","Gabon",2,0.49028867258,0.15958918478,38.423434416954,13.62067316036,56.0171142486483,2.94961647637593,14.204037330983,2.89585196113096,3.06,57.7599278860863,4.82553631064522,4.20100872420118,-0.6123094,9.67854672329337,0.539926694664903,86.0469876555944,59.3184,17.6766002655029,0,0,0.054944158641852,0.169057317358148,-1.21001923084259,0.05858098,0.07821484,0.48636482,0.01904982,5.7396679534,0.5846,5.1,0,39.2356225837901,4.87922597069726,64.584022522,31.33868141,54.00712509,62.120820618,20,93.6762013239707,14.4622037373459,0.3418014
"GAB","Gabon",3,0.4593292162,0.1342799172,33.8388644955745,13.9234313539521,55.1896182469029,3.65796859619919,14.3748062184929,2.11463559394272,3.06,56.8458266827611,3.5301454789055,4.51225592505895,-0.49936502,9.69068701962584,5.8772762038207,87.2308428328261,62.8916,20.1959999084473,0,0,0.0480410391956188,0.258348990204381,-1.21001923084259,0.06125914,0.15262198,0.4528837,0.02320768,5.4796029236,0.6094,5.5,0,39.1696245345342,4.72296091163818,66.550155638,25.906781768,50.053160098,56.148728944,21.2,93.9100125423954,6.60465322952309,0.3714258
"GBR","United Kingdom",1,0.340400004,0.1054,0.887870825396373,18.1475533085729,15.8904497491835,0.440039632729285,17.8998448246857,1.40052125130543,4.16574149543137,21.6508136301137,0.852836442184463,4.74125567187098,1.67782075,10.4615182552096,2.87930308325595,51.0187663786085,78.2141463414634,4.93900003433228,0.4,0,0.0404263228818681,0.170005831118132,2.34670782089233,0.9165122,0.79094088,0.72604032,0.97325826,8.4686744782,0.8448,1.2,1,33.9634097005048,18.6479394033385,90.711531068,92.037106322,84.64536438,97.851788332,37.6,109.444387521967,1.97741262386302,0.7137612
"GBR","United Kingdom",2,0.351439994,0.12214,0.991996698764467,20.3271002264655,15.3600467337166,0.74874991576967,17.9317329279036,2.48289999228066,4.796,19.7734524996103,0.611637661455374,6.69761146952516,1.7079666,10.5407588448994,0.773926271961343,54.3093368650991,79.479512195122,5.70279998779297,0,0,0.0406534141417165,0.174554296658283,2.34670782089233,0.98972388,0.78898194,0.69402786,0.95597482,8.1848533246,0.8686,1,1,33.7927806666302,19.0186656038338,94.917851258,87.16564026,86.729971312,97.652209472,38.7,111.108073032316,6.46783019761799,0.7545462
"GBR","United Kingdom",3,0.332439998,0.10762,0.906552075905654,20.6717505031889,14.8500575685603,0.736753017102346,17.9695400463866,2.53295775952871,5.38619343380901,18.6654737407434,0.652243566380078,1.86351628812001,1.7456158,10.535602486584,1.94311088091293,60.3107972032602,80.9136585365854,7.46880006790161,0,0,0.04433931888444,0.17849715171556,2.34670782089233,1,0.76423206,0.63699102,0.9765841,8.004182092,0.8932,1,0.2,33.1106351154448,19.7305354809129,93.129405214,84.644306946,87.614422606,97.605885316,39.5,110.999209897445,7.01239078710776,0.79826
"GHA","Ghana",1,0.4761029777,0.14137844268,12.3403864591832,10.6945530326122,6.86784759103618,2.45785581281695,16.8236019023277,22.442878424627,5.83654636000007,25.164449548762,36.0319062280204,1.86507239524138,0.03672295,7.74478642666394,4.59999995596093,104.10820151192,57.519,8.45379981994628,0,0,0.0625152829690132,0.262972339830987,-1.21001923084259,0.05198422,0.0449859,0.48561916,0.07803778,6.2586273448,0.4266,2.3,0.2,40.0588561420252,5.07947634549347,53.035626222,35.423860934,37.111125184,78.331184388,18.5,59.9827545871186,561.583603968873,0.1820234
"GHA","Ghana",2,0.48987885202,0.15286597358,10.9443503269568,9.80194631024222,2.13675854583704,2.55488494082656,16.9494097730637,14.507788301064,4.982,20.4670568413301,30.8195108103271,5.74073395292422,-0.02723774,7.89540062585596,6.12820431116317,74.1112488758664,59.711,4.91360006332398,0,0,0.0846208659542783,0.295919117445722,-1.21001923084259,0.06660242,0.06317618,0.41802258,0.0766676,6.796614371,0.4884,1.5,0.2,40.9163432368953,5.19041178009899,37.993955232,42.942980194,44.20847778,79.32646179,19.2,62.3399084807104,221.292630516241,0.2391036
