"iso3c","country","period","Top10share","Top1share","NatRes","GovExp","GDSavings","PopGrowth","PopTot","Infl","EducExp","VAI","VAA","NetFDIin","RuleofLaw","GDPpc","GDPgrowth","TradeOpen","LifeExp","Unemployment","WarYears","RevCoups","EquipI","NonequipI","kaopen","FID","FIA","FIE","FMD","EFW","EducIndex","CLandPR","LeftWing","GiniNet","RedistAbs","globFin","globRestrict","globSoc","globPol","GDPpc#GDPpc","Infl#Infl","EducIndex#EducIndex"
"MAR","Morocco",1,0.4929322871,0.1597699868,0.773841296881619,17.7105189706326,23.2988441963148,1.15046729109019,17.1870619774597,1.77001870410066,5.43333333333333,25.8645380121204,12.7565877626578,0.373340214397994,0.0545017,8.45541203163655,4.11809669695008,59.7046390305244,69.2153333333333,12.5433333714803,0,0,0.0614993197708933,0.199071276229107,-1.21001923084259,0.285905933333333,0.1436319,0.644110866666667,0.0946305333333333,6.00019482933333,0.362,4.83333333333333,0,39.6669006115456,4.96780020818077,47.04266866,34.7740910833333,49.6135635366667,80.3006896966667,71.4950756911784,3.92976128175464,0.131184666666667
"MAR","Morocco",2,0.5002201776,0.164828706433333,0.539916308131378,17.9584808579675,25.1570247804624,1.11376020728023,17.2205882124273,1.2146064562032,5.89444145023773,26.2553507531875,12.966680140149,2.78670277972154,-0.0910608333333333,8.56370720787177,4.68327340042735,62.6130435471784,71.0706666666667,11.2533334096273,0,0,0.0833012729554926,0.213290495377841,-1.21001923084259,0.322161766666667,0.165073833333333,0.650759966666667,0.137625133333333,6.16003760366667,0.399666666666667,4.66666666666667,0,39.8426565842833,4.86061808482435,44.8470751466667,34.35641861,52.9259478266667,84.8215204866667,73.3376096394762,1.51985388311678,0.159793666666667
"MAR","Morocco",3,0.5075474735,0.183601700366667,2.38830833356017,17.3744605286326,24.7864355874913,1.16289539938726,17.2548689846758,3.01389663707409,5.2,25.5280914939363,12.1415762200449,3.22127745004247,-0.2972602,8.68097175930709,5.67650116070208,78.5520940068088,72.986,9.60000006357829,0,0,0.106801646143778,0.230727655522889,-1.21001923084259,0.418506333333333,0.214181166666667,0.655488433333333,0.343501833333333,6.32546687666667,0.421,4.5,0,39.8251202032198,4.99448716982565,45.9279530833333,35.6161448166667,57.4378903733333,86.23274231,75.3600832556261,9.58661008639358,0.177289666666667
"MAR","Morocco",4,0.4993894928,0.172297331433333,3.26559920799334,18.2961139148058,22.7268511935181,1.2906513951309,17.2921112454905,0.957448436528611,5.2,25.5025819973152,13.0307104251785,1.97971623280742,-0.203182,8.77716639369196,4.43505751163171,75.5298458834445,74.3603333333333,8.98666667938232,0,0,0.111510209796392,0.244420247870275,-1.21001923084259,0.4705756,0.330186933333333,0.6619696,0.2509844,6.49231156433333,0.449666666666667,4.5,0,39.7779201042726,4.93690005045754,50.9048487333333,40.6504605633333,60.1946016966667,86.7294133466667,77.0393039826377,0.918062263176828,0.202313
"MAR","Morocco",5,0.489370994066667,0.152025732366667,2.88277187001521,19.870333912131,19.9978527512393,1.40422795077125,17.3334359952841,1.20336237386335,5.2,26.3555003095556,12.4599309040265,3.08026261952511,-0.174090866666667,8.85029244336479,3.40495979640086,82.3059166795313,75.2246666666667,9.30666637420654,0,0,0.103850980003588,0.233268658996412,-1.21001923084259,0.4752334,0.3847056,0.640182866666667,0.182867633333333,6.535514664,0.493333333333333,4.5,0,39.7582096879838,4.83520054306381,50.95875422,45.2225278233333,61.55690511,87.4942270933333,78.3279933070124,1.79639474517112,0.243467333333333
"MDA","Moldova",2,0.312766663333333,0.0716333313333333,0.221707309735178,17.007110669471,-8.02471336936481,-0.257450604878356,15.0975534455676,12.0765132569529,5.64080355000001,20.1860011634387,17.4382451192257,5.30549382548064,-0.402787133333333,8.22062236412553,7.16666662211602,138.593056024837,67.6686666666667,7.80333328247071,0,0,0.0224562298784258,0.129393849454908,-1.21001923084259,0.0860901,0.122383,0.506134866666667,0.0190724,6.575954573,0.664666666666667,3.5,1,38.250507847893,18.6042778165197,77.50074005,39.1504453,54.5765419,59.1061464966667,67.5823133270602,145.949987482259,0.441878666666667
"MDA","Moldova",3,0.3043,0.0687000003333333,0.206535623407514,20.1158874250435,-13.6345086563321,-0.233338635841111,15.0901478637856,12.6426566287824,6.39,19.1140101373476,11.0975934973403,10.589757990934,-0.4846021,8.39166366434416,5.20000007814962,138.098968063572,68.3316666666667,5.47666676839193,0,0,0.0168016226102297,0.157599352723104,-1.21001923084259,0.121633233333333,0.182068166666667,0.576448433333333,0.0190724,6.70932836233333,0.696,3.66666666666667,1,37.5637357210999,18.7221465928623,76.1140111266667,43.5927467366667,59.56898753,65.7618840533333,70.4221083001804,159.874718611389,0.484434666666667
"MDA","Moldova",4,0.280266663333333,0.0601999996666667,0.192233860444723,19.512372690435,-10.4640108898972,-0.0946411720955235,15.0859855229283,5.03612776678648,7.84333333333333,19.5024953599402,10.3476577369479,4.32790028707836,-0.378914633333333,8.45845438525993,2.30605539964625,98.9729249731652,69.618,6.84266678492228,0,0,0.0148517759027125,0.0847985227639542,-1.21001923084259,0.122660866666667,0.245624433333333,0.510492466666667,0.0189617666666667,6.57079964166667,0.697333333333333,3.16666666666667,0.333333333333333,36.1375847449536,19.2105182752305,76.6437250766667,39.7928009033333,63.4921061233333,67.3818079633333,71.548135611155,38.3685952742028,0.486275333333333
"MDA","Moldova",5,0.26763334,0.0600333326666667,0.303004481072517,15.4560000002218,-7.00171048976933,-0.0336219519034208,15.0847542352365,4.74433293114772,6.54500000000001,21.7550908792538,11.407773552955,3.0070113492244,-0.314913966666667,8.58831872057686,4.48458565925289,95.0509916673753,70.9386666666667,4.84600003560384,0,0,0.0217913044128968,0.0940448512537697,-1.21001923084259,0.125830966666667,0.299095066666667,0.6001457,0.0272046666666667,6.57423055766667,0.713,3,0,34.2251392401258,19.8649218715062,76.89950053,42.9997838333333,68.0868352266667,68.9455362966667,73.7623901126843,22.5684615729522,0.508377666666667
"MDG","Madagascar",1,0.515874946433333,0.1526360387,3.84355136991022,8.7561999657171,10.2342468343312,3.08635338927491,16.6041680992206,12.0917182923028,2.24333333333333,15.0531949120234,27.3440757390429,1.50904887649773,-0.27232735,7.3920284868851,-0.631966211425623,56.2124674001506,59.1103333333333,5.3650000890096,0,0,0.048959675548203,0.0488310847851303,-0.141151502728462,0.042004,0.0109138333333333,0.514263566666667,0.0296568666666667,5.83711201933333,0.405,3.16666666666667,0.666666666666667,42.7402569842348,5.10166445122339,44.0686429333333,33.5542526233333,23.3400675466667,44.7696317033333,54.6473640678481,158.510492280002,0.164053666666667
