code,country,year,KOFGI,KOFGIdf,KOFGIdj,KOFEcGI,KOFEcGIdf,KOFTrGIdf,KOFFiGIdf,KOFEcGIdj,KOFTrGIdj,KOFFiGIdj,KOFSoGI,KOFSoGIdf,KOFIpGIdf,KOFInGIdf,KOFCuGIdf,KOFSoGIdj,KOFIpGIdj,KOFInGIdj,KOFCuGIdj,KOFPoGI,KOFPoGIdf,KOFPoGIdj
HRV,Croatia,2006,75.63796234,73.32043457,77.95545959,68.85164642,71.12942505,72.14428711,70.11455536,66.57385254,78.71088409,54.43682098,76.64823914,72.53121948,82.57305908,66.65817261,68.36242676,80.76524353,81.5539856,82.35077667,78.39097595,81.41400909,76.3006897,86.52732849
HRV,Croatia,2007,77.09086609,75.09699249,79.08472443,70.18357086,74.06848145,72.23749542,75.89946747,66.29864502,78.64017487,53.95711899,77.43637848,72.63574982,83.37950134,64.38601685,70.14173889,82.23699951,83.01410675,84.27219391,79.42468262,83.65262604,78.58673096,88.71852112
HRV,Croatia,2008,77.33106232,75.36026764,79.30184174,69.44046783,73.02035522,73.08934021,72.95137024,65.86060333,78.54055023,53.18064117,77.92563629,73.61045074,84.18040466,63.93942261,72.71154022,82.24080658,82.76361084,85.97232819,77.98651123,84.6270752,79.4500351,89.80412292
HRV,Croatia,2009,77.02721405,74.05110168,80.0033493,67.59774017,69.73253632,65.89646149,73.56860352,65.4629364,78.82024384,52.10562897,78.03334045,72.35109711,84.44822693,61.26420593,71.34087372,83.71559906,82.69511414,86.58174896,81.86991119,85.45058441,80.06968689,90.83148956
HRV,Croatia,2010,76.40258789,73.3378067,79.46736908,67.69361877,70.50549316,67.18442535,73.82656097,64.88174438,76.84277344,52.92071915,76.2260437,69.38664246,82.20776367,55.5836525,70.36850739,83.06545258,83.00998688,87.05833435,79.12804413,85.28808594,80.12126923,90.45489502
HRV,Croatia,2011,76.50125122,73.66290283,79.33959198,67.85826111,71.4956665,70.93593597,72.05540466,64.22086334,75.1921463,53.24957657,76.1961441,69.39699554,82.13510895,55.69568634,70.36017609,82.99530029,83.61000061,87.51296997,77.86296844,85.44930267,80.0960083,90.80259705
HRV,Croatia,2012,77.17472076,74.33305359,80.01641083,69.13867188,72.79414368,71.09824371,74.49003601,65.48321533,77.79561615,53.17081451,76.76793671,69.78561401,82.12088013,58.06235123,69.17362976,83.75023651,82.25234222,88.5667572,80.43164825,85.61759186,80.41940308,90.81577301
HRV,Croatia,2013,76.34911346,73.49456787,79.20365906,68.72673798,71.55659485,72.2350769,70.87812042,65.89688873,78.82522583,52.96854401,75.24919891,69.64407349,82.5308609,56.30587006,70.09552765,80.85430908,74.53807068,89.04660034,78.97825623,85.07138062,79.28300476,90.8597641
HRV,Croatia,2014,78.85273743,75.89569092,81.80978394,72.12853241,73.19063568,73.06687927,73.31439209,71.06643677,86.06750488,56.06536102,79.4229126,74.61323547,83.41918945,57.67606354,82.74445343,84.23258972,84.31542206,89.51894379,78.86341095,85.00675964,79.88316345,90.13036346
HRV,Croatia,2015,79.04179382,75.6632843,82.42029572,72.19522095,72.56967163,75.01278687,70.1265564,71.820755,88.66996002,54.97155762,79.50124359,74.8090744,83.91220856,55.39083862,85.1241684,84.19343567,83.67563629,89.49762726,79.40702057,85.42891693,79.61113739,91.24668884
HTI,Haiti,1970,27.58781624,24.92878151,30.32513809,25.6817112,8.915975571,5.03710413,12.79484558,46.10544205,23.81462288,60.41145706,25.82180595,34.43606949,34.04421234,35.0929985,34.05806351,18.03500366,14.31836891,23.57968521,16.20695877,31.00442886,32.34755707,29.66130066
HTI,Haiti,1971,27.7900238,24.91554451,30.74913788,25.93148994,8.971464157,5.148081303,12.79484558,46.59190369,23.81462288,61.21012497,25.77247047,34.33215332,34.04421234,34.811203,34.05806351,18.03500366,14.31836891,23.57968521,16.20695877,31.40279198,32.34755707,30.45802879
HTI,Haiti,1972,27.98677826,24.89188385,31.17279434,25.93148994,8.971464157,5.148081303,12.79484558,46.59190369,23.81462288,61.21012497,25.73637962,34.25613785,34.04421234,34.811203,33.8519249,18.03500366,14.31836891,23.57968521,16.20695877,32.00033569,32.34755707,31.65312004
HTI,Haiti,1973,28.5492878,25.58950043,31.59622002,25.99243736,9.08244133,5.370035648,12.79484558,46.59190369,23.81462288,61.21012497,25.73637962,34.25613785,34.04421234,34.811203,33.8519249,18.03500366,14.31836891,23.57968521,16.20695877,33.55498886,34.26242065,32.84755707
HTI,Haiti,1974,28.65266609,25.51893806,31.87865829,25.93148994,8.971464157,5.148081303,12.79484558,46.59190369,23.81462288,61.21012497,25.68704414,34.15222549,34.04421234,34.52940369,33.8519249,18.03500366,14.31836891,23.57968521,16.20695877,33.95335388,34.26242065,33.64428329
HTI,Haiti,1975,30.32333565,25.31460762,35.47952271,25.71817589,8.583043098,4.371241093,12.79484558,46.59190369,23.81462288,61.21012497,25.57940102,33.92550278,34.04421234,34.12070847,33.64578629,18.03500366,14.31836891,23.57968521,16.20695877,39.03218842,34.26242065,43.80195236
HTI,Haiti,1976,30.50587463,25.26315117,35.90295029,25.68770218,8.527554512,4.26026392,12.79484558,46.59190369,23.81462288,61.21012497,25.53006744,33.82159042,34.04421234,33.83891296,33.64578629,18.03500366,14.31836891,23.57968521,16.20695877,39.62940598,34.26242065,44.9963913
HTI,Haiti,1977,31.08484268,25.85603523,36.46759415,25.80959511,8.749508858,4.704172611,12.79484558,46.59190369,23.81462288,61.21012497,26.31777,35.48069763,34.04421234,37.92586517,34.05806351,18.03500366,14.31836891,23.57968521,16.20695877,40.42580795,34.26242065,46.58919144
HTI,Haiti,1978,30.68290138,25.38406944,36.13773346,25.9193325,9.08244133,5.370035648,12.79484558,46.42975235,23.81462288,60.94390106,25.42305183,33.59618759,34.04421234,33.02151871,33.8519249,18.03500366,14.31836891,23.57968521,16.20695877,40.02711487,34.26242065,45.7918129
HTI,Haiti,1979,30.60491753,25.32584572,36.03940582,25.85838699,8.971464157,5.148081303,12.79484558,46.42975235,23.81462288,60.94390106,25.25527763,33.10824203,34.04421234,33.96580887,31.58441544,18.15665054,14.31836891,23.57968521,16.57189751,40.01909637,34.64539337,45.39279556
HTI,Haiti,1980,30.37182426,25.25206947,35.64322281,25.7590332,8.732051849,4.59944725,12.86465549,46.50380325,23.81887436,61.05776215,24.48206139,31.47755432,33.94343185,34.79504395,26.4018631,18.15577698,14.26425648,23.56941414,16.63365936,40.17931366,36.14214706,44.21647263
HTI,Haiti,1981,30.87478828,25.91703796,35.97975159,25.81304169,8.739360809,4.614579678,12.86414051,46.61209488,24.94651413,60.51651001,25.33757782,33.20138168,33.84959793,36.14553452,29.79443169,18.22358513,14.21679974,23.79529572,16.65866089,40.75644684,36.50492859,45.00796127
HTI,Haiti,1982,30.69907761,25.99453926,35.54366302,25.96692848,8.488909721,4.151272297,12.82654762,47.25411606,26.6258831,60.4998436,25.72711754,33.74305344,33.76837921,36.68566132,30.78234863,18.47237015,14.56968212,23.78241348,17.06501389,39.74372101,36.4874382,43.00000381
HTI,Haiti,1983,30.84492493,25.41811371,36.43300629,26.24033165,8.413321495,4.02990818,12.79673672,47.94050217,28.87028694,60.20321274,25.22359848,32.30738068,33.7506218,34.65394592,28.92732811,18.81021881,14.93516827,24.00746727,17.48802185,40.39392471,36.1856308,44.60221863
HTI,Haiti,1984,30.14177895,24.52827454,35.92169571,25.83669853,8.323778152,3.900235176,12.74732208,47.14401245,33.3273468,56.03974915,24.70669937,31.19297409,33.76185226,33.03031158,27.51441383,18.83285332,14.92120075,23.99188614,17.5854702,39.24201584,34.6973381,43.78669739
