"iso3c","year","ud","country"
"SVK","2003",26.2,"Slovakia"
"SVK","2004",23.7,"Slovakia"
"SVK","2005",22.8,"Slovakia"
"SVK","2006",20.6,"Slovakia"
"SVK","2007",18.8,"Slovakia"
"SVK","2008",17.2,"Slovakia"
"SVK","2009",16,"Slovakia"
"SVK","2010",15.2,"Slovakia"
"SVK","2011",14.1,"Slovakia"
"SVK","2012",13.6,"Slovakia"
"SVK","2013",13.3,"Slovakia"
"SVK","2014",12,"Slovakia"
"SVK","2015",11.2,"Slovakia"
"SVN","2013",26.5,"Slovenia"
"SVN","2014",28,"Slovenia"
"SVN","2015",25.1,"Slovenia"
"SVN","2016",26.9,"Slovenia"
"SWE","2000",79,"Sweden"
"SWE","2001",77.5,"Sweden"
"SWE","2002",77.4,"Sweden"
"SWE","2003",77.5,"Sweden"
"SWE","2004",76.4,"Sweden"
"SWE","2005",75.7,"Sweden"
"SWE","2006",74.3,"Sweden"
"SWE","2007",70.8,"Sweden"
"SWE","2008",68.3,"Sweden"
"SWE","2009",68.4,"Sweden"
"SWE","2010",68.2,"Sweden"
"SWE","2011",67.5,"Sweden"
"SWE","2012",67.5,"Sweden"
"SWE","2013",67.7,"Sweden"
"SWE","2014",67.3,"Sweden"
"SWE","2015",67,"Sweden"
"SYC","2011",2.1,"Seychelles"
"THA","2008",3.2,"Thailand"
"THA","2009",3,"Thailand"
"THA","2010",3.1,"Thailand"
"THA","2011",3.4,"Thailand"
"THA","2012",3.5,"Thailand"
"THA","2013",3.9,"Thailand"
"THA","2014",3.4,"Thailand"
"THA","2015",3.5,"Thailand"
"THA","2016",3.5,"Thailand"
"TTO","2010",21,"Trinidad & Tobago"
"TTO","2013",19.8,"Trinidad & Tobago"
"TUN","2011",20.4,"Tunisia"
"TUR","2013",6.3,"Turkey"
"TUR","2014",6.9,"Turkey"
"TUR","2015",8,"Turkey"
"TUR","2016",8.2,"Turkey"
"TWN","2004",41.7,"Taiwan"
"TWN","2005",40.8,"Taiwan"
"TWN","2006",39.6,"Taiwan"
"TWN","2007",39.1,"Taiwan"
"TWN","2008",38.5,"Taiwan"
"TWN","2009",39.5,"Taiwan"
"TWN","2010",39.3,"Taiwan"
"TZA","2010",35.4,"Tanzania"
"TZA","2011",34.1,"Tanzania"
"TZA","2012",31.5,"Tanzania"
"TZA","2013",27.5,"Tanzania"
"TZA","2014",25.3,"Tanzania"
"TZA","2015",24.3,"Tanzania"
"UGA","2005",1.5,"Uganda"
"UKR","2008",56.9,"Ukraine"
"UKR","2009",56.8,"Ukraine"
"UKR","2010",56.5,"Ukraine"
"UKR","2011",55.3,"Ukraine"
"UKR","2012",54.7,"Ukraine"
"UKR","2014",46.8,"Ukraine"
"UKR","2015",43.8,"Ukraine"
"URY","2009",16.6,"Uruguay"
"URY","2010",28.8,"Uruguay"
"URY","2011",28.1,"Uruguay"
"URY","2012",29.2,"Uruguay"
"URY","2013",30.1,"Uruguay"
"USA","2000",12.9,"United States"
"USA","2001",12.9,"United States"
"USA","2002",12.8,"United States"
"USA","2003",12.4,"United States"
"USA","2004",12,"United States"
"USA","2005",12,"United States"
"USA","2006",11.5,"United States"
"USA","2007",11.6,"United States"
"USA","2008",11.9,"United States"
"USA","2009",11.8,"United States"
"USA","2010",11.9,"United States"
"USA","2011",11.7,"United States"
"USA","2012",10.8,"United States"
"USA","2013",10.8,"United States"
"USA","2014",10.7,"United States"
"USA","2015",10.6,"United States"
"USA","2016",10.3,"United States"
"VCT","2009",5.3,"St. Vincent & Grenadines"
"VCT","2010",4.9,"St. Vincent & Grenadines"
"VEN","2011",0.2,"Venezuela"
"VEN","2012",0.2,"Venezuela"
"VNM","2011",14.6,"Vietnam"
"WSM","2013",11.8,"Samoa"
"ZAF","2010",30.1,"South Africa"
"ZAF","2011",29.3,"South Africa"
"ZAF","2012",29.7,"South Africa"
"ZAF","2013",28.7,"South Africa"
"ZAF","2014",29,"South Africa"
"ZAF","2015",27.4,"South Africa"
"ZAF","2016",28.1,"South Africa"
"ZMB","2008",42.1,"Zambia"
"ZMB","2012",26.7,"Zambia"
"ZMB","2014",25.9,"Zambia"
"ZWE","2000",12.8,"Zimbabwe"
"ZWE","2010",7.5,"Zimbabwe"
