"iso3c","year","FID","FIA","FIE","FMD","FMA","FME"
"DNK",2013,1,0.6101885,0.711642,0.7331641,0.5,0.5128382
"DNK",2014,1,0.5762325,0.6996451,0.7306831,0.5,0.5128382
"FRA",1980,0.4652133,0.4464917,0.7044294,0.1276713,0.0324784,0.1938486
"FRA",1981,0.4660777,0.4085114,0.6671685,0.116811,0.0419785,0.1773591
"FRA",1982,0.4659416,0.4734031,0.7081556,0.1353664,0.063363,0.2055325
"FRA",1983,0.4663631,0.5355238,0.7348436,0.1531294,0.0529186,0.2325028
"FRA",1984,0.4700534,0.495913,0.7089923,0.1418029,0.0971764,0.2153053
"FRA",1985,0.4696491,0.5069965,0.7153155,0.1449722,0.1337736,0.2201174
"FRA",1986,0.4775554,0.513517,0.7138812,0.1468367,0.1370831,0.2229483
"FRA",1987,0.4921587,0.5189335,0.7078639,0.1483855,0.1200071,0.2252999
"FRA",1988,0.5006768,0.5378346,0.7128884,0.1537901,0.1653012,0.233506
"FRA",1989,0.5121838,0.5222447,0.6961079,0.227644,0.1258098,0.3456414
"FRA",1990,0.5285192,0.5134695,0.6792508,0.1568188,0.1549821,0.3383228
"FRA",1991,0.6524841,0.5230998,0.5759506,0.1735213,0.1751609,0.337155
"FRA",1992,0.6646985,0.5284,0.6015775,0.1594918,0.1614526,0.3425566
"FRA",1993,0.69783,0.5716127,0.6113119,0.2396055,0.3131697,0.4243599
"FRA",1994,0.6986654,0.6253421,0.6429337,0.2784798,0.2722343,0.6663985
"FRA",1995,0.6971163,0.6311488,0.6375813,0.299623,0.2517413,0.7360643
"FRA",1996,0.6904349,0.6510177,0.6238906,0.3129802,0.2282634,0.4891987
"FRA",1997,0.6884639,0.6797917,0.6481748,0.4258723,0.2455225,0.6251343
"FRA",1998,0.687997,0.6359212,0.6683075,0.5630258,0.2604219,0.6975073
"FRA",1999,0.6882352,0.6113156,0.6527478,0.7246218,0.2837033,0.6274
"FRA",2000,0.6952267,0.611602,0.6642685,0.8165354,0.2663054,0.7285419
